inputName,size
11,28
19,20
12,31
38,28
81,6
5,12
40,4
70,28
23,28
72,28
79,28
78,21
87,16
6,14
68,6
69,14
1,18
45,3
33,5
15,2
93,16
24,21
25,13
26,21
48,30
71,28
76,9
7,13
50,7
22,2
4,32
32,31
77,7
91,25
42,24
13,17
41,12
55,18
31,10
66,26
65,30
62,22
21,21
95,15
84,16
58,9
64,25
83,21
94,25
0,29
99,11
96,29
67,20
61,26
43,24
2,18
54,3
30,26
59,6
85,12
74,14
90,25
18,28
52,31
44,26
17,2
36,31
49,20
86,3
37,20
56,26
63,14
35,22
97,11
75,11
57,25
88,32
10,16
53,6
8,21
39,22
47,5
60,26
89,16
51,15
14,12
28,17
16,20
34,21
82,17
46,23
27,32
20,15
9,16
92,6
3,18
98,26
29,22
80,28
73,5
