inputName,size
11,26
19,28
12,25
38,26
81,26
5,3
40,25
70,25
23,11
72,25
79,28
78,26
87,20
6,14
68,26
69,28
1,26
45,3
33,11
15,3
93,11
24,5
25,3
26,14
48,26
71,26
76,14
7,20
50,25
22,25
4,5
32,25
77,20
91,26
42,25
13,11
41,26
55,3
31,26
66,14
65,3
62,25
21,26
95,3
84,5
58,26
64,5
83,11
94,5
0,25
99,28
96,14
67,20
61,26
43,11
2,25
54,5
30,25
59,28
85,3
74,5
90,25
18,26
52,25
44,5
17,20
36,14
49,28
86,14
37,20
56,14
63,11
35,3
97,20
75,3
57,20
88,26
10,25
53,11
8,26
39,28
47,20
60,25
89,28
51,26
14,5
28,26
16,14
34,5
82,25
46,14
27,20
20,25
9,28
92,25
3,11
98,26
29,28
80,25
73,11
