inputName,nn,isign
11,2,-1
19,2,-1
12,2,-1
38,6,-1
81,7,-1
5,4,-1
40,7,-1
70,6,-1
23,2,-1
72,6,-1
79,6,-1
78,6,-1
87,7,-1
6,4,-1
68,5,-1
69,5,-1
1,4,-1
45,7,-1
33,6,-1
15,2,-1
93,9,-1
24,2,-1
25,2,-1
26,2,-1
48,7,-1
71,6,-1
76,6,-1
7,4,-1
50,2,-1
22,2,-1
4,4,-1
32,6,-1
77,6,-1
91,9,-1
42,7,-1
13,2,-1
41,7,-1
55,2,-1
31,6,-1
66,5,-1
65,5,-1
62,5,-1
21,2,-1
95,9,-1
84,7,-1
58,2,-1
64,5,-1
83,7,-1
94,9,-1
0,4,-1
99,9,-1
96,9,-1
67,5,-1
61,5,-1
43,7,-1
2,4,-1
54,2,-1
30,6,-1
59,2,-1
85,7,-1
74,6,-1
90,9,-1
18,2,-1
52,2,-1
44,7,-1
17,2,-1
36,6,-1
49,7,-1
86,7,-1
37,6,-1
56,2,-1
63,5,-1
35,6,-1
97,9,-1
75,6,-1
57,2,-1
88,7,-1
10,2,-1
53,2,-1
8,4,-1
39,6,-1
47,7,-1
60,5,-1
89,7,-1
51,2,-1
14,2,-1
28,2,-1
16,2,-1
34,6,-1
82,7,-1
46,7,-1
27,2,-1
20,2,-1
9,4,-1
92,9,-1
3,4,-1
98,9,-1
29,2,-1
80,7,-1
73,6,-1
