inputName,val
values_11,116
values_19,63
values_12,23
values_38,60
values_81,11
values_5,67
values_40,52
values_70,106
values_23,44
values_72,55
values_79,115
values_78,63
values_87,19
values_6,41
values_68,19
values_69,103
values_1,116
values_45,97
values_33,59
values_15,9
values_93,26
values_24,78
values_25,19
values_26,89
values_48,109
values_71,48
values_76,62
values_7,68
values_50,16
values_22,43
values_4,51
values_32,78
values_77,8
values_91,15
values_42,10
values_13,105
values_41,25
values_55,82
values_31,65
values_66,100
values_65,69
values_62,102
values_21,75
values_95,113
values_84,67
values_58,123
values_64,100
values_83,50
values_94,49
values_0,99
values_99,91
values_96,33
values_67,57
values_61,104
values_43,94
values_2,115
values_54,107
values_30,67
values_59,107
values_85,10
values_74,20
values_90,112
values_18,44
values_52,3
values_44,66
values_17,46
values_36,9
values_49,23
values_86,82
values_37,3
values_56,121
values_63,79
values_35,104
values_97,124
values_75,7
values_57,28
values_88,82
values_10,68
values_53,46
values_8,72
values_39,111
values_47,28
values_60,88
values_89,67
values_51,3
values_14,92
values_28,106
values_16,105
values_34,125
values_82,27
values_46,101
values_27,125
values_20,18
values_9,94
values_92,47
values_3,92
values_98,35
values_29,90
values_80,22
values_73,23
