inputName,]
values_11,64
values_19,64
values_12,64
values_38,64
values_81,64
values_5,64
values_40,64
values_70,64
values_23,64
values_72,64
values_79,64
values_78,64
values_87,64
values_6,64
values_68,64
values_69,64
values_1,64
values_45,64
values_33,64
values_15,64
values_93,64
values_24,64
values_25,64
values_26,64
values_48,64
values_71,64
values_76,64
values_7,64
values_50,64
values_22,64
values_4,64
values_32,64
values_77,64
values_91,64
values_42,64
values_13,64
values_41,64
values_55,64
values_31,64
values_66,64
values_65,64
values_62,64
values_21,64
values_95,64
values_84,64
values_58,64
values_64,64
values_83,64
values_94,64
values_0,64
values_99,64
values_96,64
values_67,64
values_61,64
values_43,64
values_2,64
values_54,64
values_30,64
values_59,64
values_85,64
values_74,64
values_90,64
values_18,64
values_52,64
values_44,64
values_17,64
values_36,64
values_49,64
values_86,64
values_37,64
values_56,64
values_63,64
values_35,64
values_97,64
values_75,64
values_57,64
values_88,64
values_10,64
values_53,64
values_8,64
values_39,64
values_47,64
values_60,64
values_89,64
values_51,64
values_14,64
values_28,64
values_16,64
values_34,64
values_82,64
values_46,64
values_27,64
values_20,64
values_9,64
values_92,64
values_3,64
values_98,64
values_29,64
values_80,64
values_73,64
