inputName,n
values_11,13
values_19,23
values_12,19
values_38,18
values_81,9
values_5,20
values_40,20
values_70,22
values_23,24
values_72,32
values_79,11
values_78,8
values_87,2
values_6,14
values_68,24
values_69,28
values_1,17
values_45,31
values_33,4
values_15,17
values_93,17
values_24,4
values_25,18
values_26,19
values_48,9
values_71,22
values_76,13
values_7,22
values_50,23
values_22,20
values_4,22
values_32,30
values_77,2
values_91,12
values_42,2
values_13,30
values_41,7
values_55,17
values_31,6
values_66,15
values_65,4
values_62,32
values_21,19
values_95,31
values_84,12
values_58,3
values_64,18
values_83,29
values_94,18
values_0,24
values_99,13
values_96,10
values_67,24
values_61,22
values_43,14
values_2,23
values_54,8
values_30,21
values_59,5
values_85,5
values_74,29
values_90,4
values_18,27
values_52,16
values_44,27
values_17,28
values_36,22
values_49,20
values_86,32
values_37,6
values_56,10
values_63,14
values_35,26
values_97,22
values_75,13
values_57,7
values_88,30
values_10,32
values_53,7
values_8,8
values_39,4
values_47,13
values_60,15
values_89,4
values_51,21
values_14,10
values_28,24
values_16,6
values_34,9
values_82,19
values_46,16
values_27,14
values_20,7
values_9,25
values_92,19
values_3,16
values_98,4
values_29,15
values_80,26
values_73,31
