inputName,k
11,238
19,238
12,238
38,151
81,18
5,201
40,204
70,215
23,229
72,215
79,215
78,215
87,18
6,201
68,222
69,222
1,201
45,204
33,151
15,238
93,216
24,229
25,229
26,229
48,204
71,215
76,215
7,201
50,160
22,229
4,201
32,151
77,215
91,216
42,204
13,238
41,204
55,160
31,151
66,222
65,222
62,222
21,229
95,216
84,18
58,160
64,222
83,18
94,216
0,201
99,216
96,216
67,222
61,222
43,204
2,201
54,160
30,151
59,160
85,18
74,215
90,216
18,238
52,160
44,204
17,238
36,151
49,204
86,18
37,151
56,160
63,222
35,151
97,216
75,215
57,160
88,18
10,238
53,160
8,201
39,151
47,204
60,222
89,18
51,160
14,238
28,229
16,238
34,151
82,18
46,204
27,229
20,229
9,201
92,216
3,201
98,216
29,229
80,18
73,215
