inputName,n
11,25932
19,7649
12,21838
38,10108
81,7736
5,18434
40,29449
70,4347
23,9311
72,15348
79,3011
78,7992
87,9184
6,8748
68,20291
69,6892
1,30263
45,2385
33,27730
15,1896
93,31714
24,31799
25,9237
26,20730
48,31019
71,21471
76,4447
7,28302
50,9371
22,18533
4,7702
32,32346
77,18981
91,31011
42,15292
13,19962
41,23640
55,21486
31,32525
66,22172
65,18154
62,10893
21,16269
95,1288
84,29303
58,7429
64,17178
83,23978
94,29377
0,25756
99,6471
96,15909
67,7179
61,30837
43,17545
2,1063
54,32322
30,25311
59,10083
85,31092
74,5284
90,32352
18,3057
52,32038
44,30835
17,22611
36,4230
49,4135
86,1054
37,21557
56,17824
63,30889
35,16981
97,30688
75,31885
57,26896
88,3441
10,10993
53,30152
8,9583
39,1768
47,4102
60,29007
89,10298
51,6938
14,16676
28,23255
16,14138
34,13408
82,10417
46,1569
27,12432
20,23782
9,28285
92,1099
3,19615
98,6595
29,2029
80,8704
73,31727
