inputName,n
values_11,44
values_19,78
values_12,17
values_38,92
values_81,79
values_5,88
values_40,12
values_70,61
values_23,32
values_72,44
values_79,122
values_78,52
values_87,113
values_6,42
values_68,42
values_69,71
values_1,56
values_45,21
values_33,59
values_15,45
values_93,112
values_24,66
values_25,119
values_26,46
values_48,84
values_71,41
values_76,127
values_7,59
values_50,32
values_22,101
values_4,68
values_32,63
values_77,13
values_91,88
values_42,124
values_13,117
values_41,36
values_55,57
values_31,75
values_66,79
values_65,12
values_62,35
values_21,122
values_95,65
values_84,73
values_58,109
values_64,14
values_83,43
values_94,126
values_0,53
values_99,113
values_96,97
values_67,97
values_61,73
values_43,77
values_2,59
values_54,123
values_30,92
values_59,33
values_85,73
values_74,8
values_90,49
values_18,127
values_52,61
values_44,24
values_17,74
values_36,64
values_49,42
values_86,88
values_37,120
values_56,22
values_63,24
values_35,82
values_97,97
values_75,49
values_57,23
values_88,108
values_10,62
values_53,18
values_8,21
values_39,64
values_47,5
values_60,42
values_89,57
values_51,32
values_14,65
values_28,104
values_16,49
values_34,38
values_82,123
values_46,82
values_27,67
values_20,112
values_9,39
values_92,105
values_3,25
values_98,29
values_29,109
values_80,97
values_73,4
