inputName,n
values_11,14
values_19,10
values_12,14
values_38,6
values_81,7
values_5,18
values_40,12
values_70,30
values_23,11
values_72,14
values_79,14
values_78,26
values_87,12
values_6,2
values_68,8
values_69,25
values_1,24
values_45,16
values_33,2
values_15,22
values_93,16
values_24,23
values_25,16
values_26,14
values_48,22
values_71,16
values_76,26
values_7,12
values_50,23
values_22,28
values_4,10
values_32,15
values_77,25
values_91,17
values_42,31
values_13,17
values_41,22
values_55,6
values_31,16
values_66,28
values_65,17
values_62,10
values_21,19
values_95,21
values_84,9
values_58,14
values_64,25
values_83,22
values_94,21
values_0,5
values_99,13
values_96,22
values_67,3
values_61,24
values_43,16
values_2,21
values_54,26
values_30,14
values_59,28
values_85,6
values_74,5
values_90,8
values_18,21
values_52,9
values_44,8
values_17,32
values_36,14
values_49,10
values_86,14
values_37,14
values_56,21
values_63,21
values_35,19
values_97,9
values_75,22
values_57,14
values_88,19
values_10,12
values_53,32
values_8,16
values_39,2
values_47,28
values_60,20
values_89,3
values_51,5
values_14,3
values_28,5
values_16,17
values_34,7
values_82,15
values_46,10
values_27,16
values_20,32
values_9,28
values_92,27
values_3,12
values_98,19
values_29,17
values_80,3
values_73,10
