inputName,k
11,67
19,67
12,67
38,159
81,227
5,88
40,192
70,101
23,61
72,101
79,101
78,101
87,227
6,88
68,242
69,242
1,88
45,192
33,159
15,67
93,92
24,61
25,61
26,61
48,192
71,101
76,101
7,88
50,231
22,61
4,88
32,159
77,101
91,92
42,192
13,67
41,192
55,231
31,159
66,242
65,242
62,242
21,61
95,92
84,227
58,231
64,242
83,227
94,92
0,88
99,92
96,92
67,242
61,242
43,192
2,88
54,231
30,159
59,231
85,227
74,101
90,92
18,67
52,231
44,192
17,67
36,159
49,192
86,227
37,159
56,231
63,242
35,159
97,92
75,101
57,231
88,227
10,67
53,231
8,88
39,159
47,192
60,242
89,227
51,231
14,67
28,61
16,67
34,159
82,227
46,192
27,61
20,61
9,88
92,92
3,88
98,92
29,61
80,227
73,101
