inputName,nn,size,isign,data[size]
values_11,3,7,-1,"{-602601026, -2023138594, -755489029, -1133935406, -1256756493, -676100806, 391420404"
values_19,3,2,-1,"{1402133026, -998510734"
values_12,3,12,-1,"{-1271200731, -1240805939, 1461506855, -298310578, -929991832, 808087118, 1825351314, 795572068, -776753059, -834212308, 2052564036, -1994827182"
values_38,2,26,-1,"{-974070707, -1245211535, 91934365, 1270916966, 1912462252, 975926540, -23677448, 1445734255, -1461517604, -82930674, -526772158, 2141670201, -1718817916, -2071773544, -222172645, 537139220, 1090669896, -929283834, 2106782171, 1725805443, -698772144, 1943791398, 1507487869, -1269403855, -836395230, 1341426759"
values_81,4,7,-1,"{322127859, 926789039, -110384418, -1808501028, -1416053173, 1153567416, -1899661304"
values_5,2,12,-1,"{799197961, -1276813476, 377421552, -1611557548, 1418232385, -1258092533, -1348952222, -1888757711, -821570057, 1748926253, -2073587424, -1696907279"
values_40,3,17,-1,"{682866417, -822307759, 2060476765, -618631098, 721533311, -952415686, -1619934847, -1286757168, -495924297, 2093515119, 2134231543, -138558382, -1186890550, 1652058355, 1316959060, -1122241885, 1331945879"
values_70,4,17,-1,"{399813228, -53862289, 1557691826, -2060971711, -997933319, -1457407888, -186004591, 1322536599, 840122660, -1865936661, -2069489631, 543181978, -1155086593, -1089889357, -876873279, 1051414986, 1502291235"
values_23,4,12,-1,"{788947539, -1291579394, -614971676, -899690347, 1523812129, 1478781422, 1156662435, 110104913, 521502817, -975160587, 707977033, 14959524"
values_72,4,12,-1,"{-822679769, 1781754816, 577244123, -897463648, -1995392233, 390742284, 708923080, -1155216154, -319596215, -163278468, -2051364488, -1050053909"
values_79,4,2,-1,"{1430510417, -685789401"
values_78,4,26,-1,"{919952677, 1258167212, -1666594822, -538230700, 2080950017, -1834409827, -1768329281, 2037251790, -1772318433, 1286877456, 1360095159, -735243005, -1891677894, 1574482658, -1272470947, 879373383, -582355571, -2055754803, -1801461512, 2008929237, 1626166182, -466661393, -1063709876, -440986249, -1696155069, -1073099608"
values_87,4,5,-1,"{-1748499638, 598066802, -1259262401, 1234760649, 1601381617"
values_6,2,31,-1,"{1254296110, 328745074, -400748394, 1740373359, -1467392047, -531734693, -1737032442, 551304392, 94398632, 253046229, -1875433266, -460535546, -1803183640, 129179450, -960003524, -1713817204, -1844167430, -2072709851, -290127805, -1188075799, 95047163, 1819468471, 1974263104, 1310738614, -833401718, 985997960, -667363944, -1258825078, 968897443, -656616365, -1813350400"
values_68,2,26,-1,"{714770236, -465879610, -2050295540, -893126800, -1422498939, 1580355412, 1102999888, -393994117, 117147804, -867182095, 146799200, -2144433190, -976793373, 144904878, -1795988844, 641265514, -1072767601, -1842930033, -1489599871, 1457004327, 1552296990, 1168221550, -910676156, 741417708, -1561346605, 246891739"
values_69,2,2,-1,"{-839167350, 868186384"
values_1,2,7,-1,"{-786486903, -2096855907, 1929478528, 536224635, -183546213, -1845221778, 620954029"
values_45,3,12,-1,"{1323978209, 1759072581, 1575824513, 981843035, -1470718338, 1833867567, -1993738550, 107689869, -2141764119, -1455068899, 125723524, -809642127"
values_33,2,12,-1,"{-1362704373, 1799138967, -296011687, 923324658, 1655798968, 442823537, 566622644, -672976901, -1391905709, 348310178, -408305448, -53943358"
values_15,3,12,-1,"{1501416946, -990687579, 1955257948, 118446240, 2072996323, 1124069539, 487403169, -1250021037, -226915143, -1072595795, 595222854, -727081052"
values_93,3,12,-1,"{-430961056, 113968935, -145750163, 1316245462, -1734856458, 53610179, -2141430510, -162684097, 1406816553, 1009884370, 1018127063, -242546450"
values_24,4,18,-1,"{490739970, 1627301205, -753760420, 327352613, -532177044, -184457632, 115495442, -2035739159, 1475482603, 91178845, -1210870509, -174341632, -1204220617, 385566087, 922801425, -737501049, -962670134, -1937813371"
values_25,4,12,-1,"{1017952497, -962045452, -1373822444, -2088347372, 1089108423, 1861413556, -1753980725, 1810773488, -1262024557, -1989391500, -128682725, -1589229549"
values_26,4,31,-1,"{1328833709, 1137552396, 508379528, 1358719192, -1705290684, 1076146643, -923269836, -1067763171, 739842783, -1735523601, 300799898, 646965898, -1598422586, -631870199, -1609957201, -1843559393, 1756408427, 2032055519, 1235084990, -1413976140, 1164133970, -31682950, -1993781069, -1543469359, -1607985084, 1920605062, -356229897, 1240686458, -836727667, 426387790, -691683033"
values_48,3,26,-1,"{-1719341263, 1480526468, 997942366, -2074422836, 1462893837, 862912914, 1548972524, 17333953, -944880412, -1982722045, -953222873, -291677042, 1831681160, -499088686, 1342393919, 636489215, -1350403222, 1290073807, 1080951244, 514920162, -871601001, -331515687, 597245611, -298436172, 1129350893, 649643186"
values_71,4,7,-1,"{-145391232, 1040807571, -1425038041, 653312846, -1598374227, -1605171423, -2104476328"
values_76,4,31,-1,"{-260900896, -1227894317, -845073130, -1706983660, -2038877017, 546329362, 2035662408, 822207802, -374005167, 1539071217, 31786245, -536637127, -888286606, -1475609094, 1066297702, 49018500, 1515759742, -263787075, -129219083, -1944216066, -881110777, 1590974579, -365650907, -1234533833, -1078275876, 1474600419, 1194166920, 766772279, -68435320, -737557804, 2136543894"
values_7,2,5,-1,"{1202248726, 820435445, -1024990980, -1814391922, 263776876"
values_50,1,17,-1,"{-781730181, -350855584, -559521121, 849087465, -2051257882, -1366232661, -1793737541, -118021696, 181605626, -40605447, 1185140585, -214537937, -1116133199, -1343574862, 1422748323, -924333685, -1862800078"
values_22,4,12,-1,"{-1124801587, 683149915, -1695189385, 531360694, 584729725, 419873095, -359229256, -632230590, 1873073889, -198292199, -418852653, 335821681"
values_4,2,18,-1,"{-84696086, -2010985863, -30500648, -1011036968, 1515878994, 628064767, 1301551431, -121096041, 995105971, -658296359, 1808756277, -794460649, -960459151, 68336356, -1545822232, -579333396, 1021382304, -2100947839"
values_32,2,12,-1,"{1123322008, 1838975442, -2101315924, -276839053, 1286400054, 748247721, -287650412, -1104247693, 1476869150, -1589683619, 971575147, -1968938481"
values_77,4,5,-1,"{-975235176, 1783871113, 306755028, -359134881, 366553119"
values_91,3,7,-1,"{-310947633, -1898605804, -1305398645, -1396116243, 1749369661, 1965435485, -1228340235"
values_42,3,12,-1,"{493919020, 1189304719, -1222777822, -208314934, 1040273467, -1063948902, 2067935371, -2083324404, 2032319851, -512228752, 1828899547, -1998138143"
values_13,3,12,-1,"{1664044459, -1947839469, -1448574927, 1316238072, 2075291253, 1361438297, 705481322, 1051772346, 1612820055, 393370424, 884879513, -1747055559"
values_41,3,7,-1,"{-1590964915, 528299467, 1504608352, 569784674, -286456330, 1926981444, 2091731944"
values_55,1,12,-1,"{-2065883572, -1696035563, 1834058770, 116001212, 1211033167, 581824622, -1657760765, -580750506, 259960215, 165968355, -1784450745, 1628267953"
values_31,2,7,-1,"{1716233562, -1453006662, -109928306, -1167594513, -298168980, 153190679, -658872461"
values_66,2,31,-1,"{1271214289, -302684406, 2087129118, 1724772968, 831132307, -503213147, 1129395453, -1547638949, -148803079, -799115291, 1641072316, -1181109458, 1854730966, 1526675969, -2056228287, 1735527116, -1621905015, -950054178, -149995821, -1502809797, 30585, -1605972717, -54827757, 435163612, 278826847, -2136473026, -1580679598, -367515904, 1962768962, -155080709, -99468367"
values_65,2,12,-1,"{-1721973519, 504787266, -337559072, 560283440, -1424770118, 1265981386, 303737274, -1835913042, 1885491900, -71554176, 1941503259, -647398134"
values_62,2,12,-1,"{-1021445969, 1649404607, -1424884956, -2035532944, -1235675061, 566177510, 414698096, -591867647, 1831428304, 988958232, 646489391, 2063319279"
values_21,4,7,-1,"{-506588901, -1195154269, -204834486, -552125224, 1475337610, 1445707157, -1503306776"
values_95,3,12,-1,"{-791186393, 718574385, 1948786279, 393184422, -813877422, -1780015189, 545689135, 208004886, 1826610922, 6755644, -360343247, -36142728"
values_84,4,18,-1,"{-400318631, -513824282, -412369981, -904734235, -694924457, -1306655024, 1164481812, -365892733, 940145951, -716752270, 1150953452, 1502134030, -1170289117, -719036568, 447975294, 1801555877, -2066779833, -577585962"
values_58,1,26,-1,"{-1687986707, -565585335, 1204120153, -1102040927, -1085098656, -1741656478, 863528138, 1797281055, 749006253, -683496390, -391074013, 1625565942, -12758842, 1676745157, 1827762698, -237759758, 384929815, -1680775264, 174212513, -1061453629, -2100266701, -1413837692, 249015106, -592604987, -1771740200, -1504322884"
values_64,2,18,-1,"{483290379, -1364057504, -1697521197, -420761292, 802752971, -1895024563, 738171553, 1325317973, 58640928, 738757620, -999120173, 870852870, -778499673, -2130839923, 440389840, 2145001828, 1417922409, -747204919"
values_83,4,12,-1,"{-1054451782, 1566076337, 959497071, 1540037396, -513939547, 1680391592, -1124018485, 603524482, 249984272, -359597309, 1601046752, -1182811878"
values_94,3,18,-1,"{-18885432, 1663467155, 803201210, -11882299, 719601431, -2013462104, 594186379, -498719758, 1545726437, -656612171, 192330984, -585772204, 1749533815, 2069009057, 2059350162, -2140553115, 798660095, 848262987"
values_0,2,17,-1,"{-1142995767, -1937652948, 1254444460, 745008656, 1750717095, -774323934, -602248834, -14253081, -1619655449, 286096441, 1724579921, 1407335628, 641023678, 1023576128, 1370303696, 531067958, -80194290"
values_99,3,2,-1,"{672636394, -1014933363"
values_96,3,31,-1,"{-2018246595, 1071374732, -363656416, -370697189, -1206893702, -1328314279, 1235547621, -1767346501, -1948720559, -1922328452, -1119097163, -1926781874, 199152763, 100327484, -2007184159, -1404716338, -1112065537, -1893754260, -38838806, 63914319, 1484330238, -34896155, -300895151, 1692463592, -745208251, -1946769022, 446101808, -1144006905, -1575270621, -680531368, 1890895418"
values_67,2,5,-1,"{-1642050969, -831569527, -1233502080, 654189536, 1302441739"
values_61,2,7,-1,"{1351125423, 464479762, 171961606, 829960900, -782550582, 151266456, -2061259802"
values_43,3,12,-1,"{104992601, -1058224068, -465799084, -1505787801, 305408201, 1525660928, -343264605, 1363318635, 605434716, -52742967, -90562623, -928291488"
values_2,2,12,-1,"{-463946461, 1674939253, 64794303, -529098527, 1736862544, -1819806707, -1353077606, -1598314093, 1121948245, 1132560169, 1733164338, 621655731"
values_54,1,18,-1,"{-1226989153, -1897840718, 956684552, -2072248561, 1094078666, -1129206167, 1607612998, 857012408, -334465214, -2127389451, -2089500943, 997182794, -754414155, 269546324, -375421673, 703281373, -1260049990, 1636680066"
values_30,2,17,-1,"{-163381547, -446431690, -1797717569, -2017721647, -1843385266, 5994063, -267320335, -738981549, 666462280, 358994416, 633807717, -547624697, 566425798, -1850278553, -290697860, 1004750051, -1526582138"
values_59,1,2,-1,"{187081915, 954704422"
values_85,4,12,-1,"{-1763815924, -206263079, 77352587, 675928808, -240800993, -2044441655, -1000573708, -1733466131, 1935503563, 1037516032, -1125795057, -664994414"
values_74,4,18,-1,"{-67714353, -273997029, -957934868, 509703526, 2050713606, -257286714, 1074150768, -395224881, 783987649, 306175488, 1163216282, -513174631, 1333159565, -60467351, 1352735571, -1046695707, 2060945081, -1840793832"
values_90,3,17,-1,"{-397839525, 36831141, 1847857433, -538732555, -1929675918, 1024776874, 2134723701, -1345539363, 75789664, -706995200, -1056167876, -144065102, 1825195699, -2067335599, -1365634416, 1091733416, 1454323601"
values_18,3,26,-1,"{1330809788, -555637035, -2032140212, -1317227223, 1005263235, -1606456595, -390489286, -1626252632, 965642123, 2073764224, 1689775422, 340432911, 394007936, -939986112, 2064572384, 1919157808, 326961944, 308720755, -611983858, -1630654148, -75175418, -1789422059, -708172441, 2113061836, 1309440270, -1382217750"
values_52,1,12,-1,"{1517739951, -981739027, 970563670, -1417113022, 1695319452, -1470195504, -617873506, 1001701314, 340101287, -952265202, -510912244, 1340754591"
values_44,3,18,-1,"{-1566474771, -1286769323, 1195494782, 2054393613, 899080436, 193169169, -1901419270, -1439679030, 225468889, -1860876939, -1978773651, 644280143, 1313974052, 276345499, -1708920561, 1878415904, -2032273119, 1873502562"
values_17,3,5,-1,"{300193280, -884446583, -1731574931, 154804814, 1323279783"
