inputName,key
11,19
19,6
12,29
38,21
81,19
5,16
40,32
70,32
23,24
72,29
79,6
78,21
87,11
6,19
68,21
69,6
1,19
45,16
33,24
15,16
93,24
24,3
25,16
26,19
48,21
71,19
76,19
7,11
50,32
22,29
4,3
32,29
77,11
91,19
42,29
13,24
41,19
55,16
31,19
66,19
65,16
62,29
21,19
95,16
84,3
58,21
64,3
83,24
94,3
0,32
99,6
96,19
67,11
61,19
43,24
2,29
54,3
30,32
59,6
85,16
74,3
90,32
18,21
52,29
44,3
17,11
36,19
49,6
86,19
37,11
56,19
63,24
35,16
97,11
75,16
57,11
88,21
10,32
53,24
8,21
39,6
47,11
60,32
89,6
51,19
14,3
28,21
16,19
34,3
82,29
46,19
27,11
20,32
9,6
92,29
3,24
98,21
29,6
80,32
73,24
