inputName,n
values_11,22
values_19,27
values_12,10
values_38,9
values_81,15
values_5,18
values_40,27
values_70,9
values_23,8
values_72,28
values_79,14
values_78,2
values_87,4
values_6,7
values_68,16
values_69,11
values_1,21
values_45,18
values_33,28
values_15,18
values_93,5
values_24,11
values_25,15
values_26,6
values_48,23
values_71,26
values_76,28
values_7,8
values_50,29
values_22,22
values_4,15
values_32,15
values_77,25
values_91,29
values_42,2
values_13,30
values_41,3
values_55,15
values_31,32
values_66,23
values_65,16
values_62,27
values_21,25
values_95,23
values_84,9
values_58,23
values_64,8
values_83,30
values_94,17
values_0,6
values_99,4
values_96,16
values_67,27
values_61,21
values_43,9
values_2,18
values_54,31
values_30,19
values_59,24
values_85,12
values_74,5
values_90,22
values_18,10
values_52,6
values_44,9
values_17,24
values_36,21
values_49,28
values_86,13
values_37,27
values_56,30
values_63,15
values_35,26
values_97,14
values_75,30
values_57,16
values_88,32
values_10,31
values_53,30
values_8,18
values_39,8
values_47,14
values_60,16
values_89,27
values_51,24
values_14,5
values_28,21
values_16,18
values_34,2
values_82,17
values_46,18
values_27,28
values_20,13
values_9,3
values_92,19
values_3,31
values_98,14
values_29,6
values_80,5
values_73,25
