inputName,n
values_11,21
values_19,26
values_12,10
values_38,6
values_81,28
values_5,10
values_40,5
values_70,28
values_23,20
values_72,28
values_79,20
values_78,12
values_87,26
values_6,13
values_68,31
values_69,16
values_1,25
values_45,4
values_33,9
values_15,24
values_93,13
values_24,27
values_25,25
values_26,22
values_48,9
values_71,12
values_76,2
values_7,2
values_50,19
values_22,26
values_4,14
values_32,11
values_77,3
values_91,12
values_42,29
values_13,32
values_41,6
values_55,14
values_31,10
values_66,22
values_65,25
values_62,16
values_21,10
values_95,31
values_84,22
values_58,15
values_64,30
values_83,21
values_94,28
values_0,5
values_99,28
values_96,18
values_67,25
values_61,8
values_43,23
values_2,5
values_54,29
values_30,13
values_59,32
values_85,2
values_74,4
values_90,17
values_18,27
values_52,10
values_44,24
values_17,22
values_36,17
values_49,4
values_86,20
values_37,6
values_56,26
values_63,22
values_35,23
values_97,32
values_75,14
values_57,22
values_88,22
values_10,8
values_53,22
values_8,7
values_39,5
values_47,13
values_60,25
values_89,30
values_51,15
values_14,7
values_28,2
values_16,22
values_34,12
values_82,26
values_46,9
values_27,24
values_20,11
values_9,22
values_92,17
values_3,32
values_98,13
values_29,14
values_80,21
values_73,25
