inputName,size
11,25
19,25
12,14
38,32
81,22
5,7
40,14
70,22
23,31
72,18
79,18
78,27
87,5
6,30
68,28
69,11
1,17
45,31
33,7
15,25
93,21
24,25
25,14
26,30
48,30
71,20
76,16
7,29
50,24
22,23
4,13
32,26
77,24
91,31
42,2
13,26
41,19
55,4
31,30
66,26
65,21
62,22
21,21
95,15
84,29
58,3
64,26
83,4
94,31
0,12
99,17
96,27
67,31
61,9
43,21
2,13
54,11
30,29
59,16
85,13
74,2
90,24
18,32
52,4
44,16
17,32
36,13
49,27
86,15
37,28
56,5
63,21
35,13
97,8
75,13
57,23
88,19
10,15
53,3
8,24
39,15
47,3
60,5
89,11
51,13
14,27
28,3
16,16
34,10
82,5
46,12
27,23
20,31
9,23
92,19
3,25
98,9
29,15
80,30
73,23
