inputName,key
11,24
19,14
12,31
38,13
81,24
5,14
40,19
70,19
23,20
72,31
79,14
78,13
87,25
6,24
68,13
69,14
1,24
45,14
33,20
15,14
93,20
24,12
25,14
26,24
48,13
71,24
76,24
7,25
50,19
22,31
4,12
32,31
77,25
91,24
42,31
13,20
41,24
55,14
31,24
66,24
65,14
62,31
21,24
95,14
84,12
58,13
64,12
83,20
94,12
0,19
99,14
96,24
67,25
61,24
43,20
2,31
54,12
30,19
59,14
85,14
74,12
90,19
18,13
52,31
44,12
17,25
36,24
49,14
86,24
37,25
56,24
63,20
35,14
97,25
75,14
57,25
88,13
10,19
53,20
8,13
39,14
47,25
60,19
89,14
51,24
14,12
28,13
16,24
34,12
82,31
46,24
27,25
20,19
9,14
92,31
3,20
98,13
29,14
80,19
73,20
