inputName,n
11,22
19,22
12,22
38,4
81,29
5,19
40,21
70,22
23,2
72,22
79,22
78,22
87,29
6,19
68,17
69,17
1,19
45,21
33,4
15,22
93,2
24,2
25,2
26,2
48,21
71,22
76,22
7,19
50,4
22,2
4,19
32,4
77,22
91,2
42,21
13,22
41,21
55,4
31,4
66,17
65,17
62,17
21,2
95,2
84,29
58,4
64,17
83,29
94,2
0,19
99,2
96,2
67,17
61,17
43,21
2,19
54,4
30,4
59,4
85,29
74,22
90,2
18,22
52,4
44,21
17,22
36,4
49,21
86,29
37,4
56,4
63,17
35,4
97,2
75,22
57,4
88,29
10,22
53,4
8,19
39,4
47,21
60,17
89,29
51,4
14,22
28,2
16,22
34,4
82,29
46,21
27,2
20,2
9,19
92,2
3,19
98,2
29,2
80,29
73,22
