inputName,nn,size,isign,data[size]
values_11,2,15,0,"{4521435963984287742, 1833999259071748863, 5406000340291930631, -1751697281770807819, -1350470404165073741, 8580956471895536977, 2911480084177581519, -3353709424635493074, -200257155604156885, -6259021548432112510, 1772612633661909691, 4121751674008040376, -7074423769130199163, 5708677395854799633, 4529078168953230589"
values_19,2,23,0,"{3779513116323009176, -8210208611450304462, 785373428310837185, -142752783071623756, -1892597336144069063, 5515159139838658213, 5381159584199094038, -5690169771160108700, -5396159111953050181, -8643931190466249634, -1333917040275087360, 688155503372853042, 5448492147057900427, 3566723746404183363, -1518119265351175290, -761910281605942134, 8102781449192385912, 945400012835898796, 1541880509220644022, -7351597869403920184, -3145723445997915746, 4593581175761138155, -8134809153270772689"
values_12,2,11,0,"{-1834130315631405612, -2967227220141815122, -609723652806028106, 7843043732385625443, -1374612885925219435, 4495943024625525899, -6614344894372077895, -782661133773872385, -7486323252500700531, -9126884747208669270, -7257504542577484202"
values_38,3,2,0,"{5190462508932477586, -5710458117066231847"
values_81,2,15,0,"{-891656764172356038, -467297488610863310, 3964936190033916180, 2650900858889450906, -671966635071628516, -5909925005258208558, -4647406487071352849, -8577556345262264262, -8493158047373802220, -7935771975896459073, 6205730093399954482, 3040871284034467371, -6020974514379479506, -4050118986524692633, -278116159444410945"
values_5,3,12,0,"{1159045834090821871, 3265383234063144329, 526267316269385685, -987683993397738985, -3082807490537510809, -4356418726121138736, -4807614474241879572, -5615120134539384363, -5779494779468502495, 3782530805928388519, -5908384980091269784, -4565600456239477573"
values_40,2,4,0,"{-7981872074871272049, 926628429319710389, 2602793852949691853, -9071789714346671184"
values_70,1,4,0,"{4999562709620593206, 3888190707924207247, -8097864629550821355, 302549351966985219"
values_23,1,8,0,"{9028110027077405589, 4395559342141088957, 5532235777765606269, 3495790072616425613, 7475871429856191179, -6027436508458950515, 5734679740965070236, 1415979460799708276"
values_72,1,11,0,"{9056672324920642507, -2500213254853796216, 4290881892707648915, 2810964327443670940, -8357922381249047824, -608075482410028374, -6660371135868152016, -5043009545762903505, 4922953683030589145, 2130267490193779560, -7865559387990914021"
values_79,1,23,0,"{-6647727473806292308, -3418417442969512203, 3120723710180718343, 6306330298103870185, 7861785380738173441, -8375220571023672303, -5924099187146771805, -665586528932699905, 8706904342576573988, -7073430074494521111, 2682672825609134766, -3985792340420631915, -6308223514905995911, 8887274414296778208, -1315822373690578698, -8506596024206461751, 1712706992939788936, 5987118624428021905, 7837466588529781077, -398173667714815440, 3802571870216670783, 8314036507979289672, 5016178907598641783"
values_78,1,2,0,"{-4816875299692851468, 6659988538899664132"
