inputName,n
values_11,15
values_19,23
values_12,12
values_38,24
values_81,23
values_5,9
values_40,31
values_70,11
values_23,3
values_72,29
values_79,22
values_78,22
values_87,7
values_6,18
values_68,9
values_69,28
values_1,13
values_45,27
values_33,23
values_15,19
values_93,9
values_24,4
values_25,24
values_26,26
values_48,22
values_71,27
values_76,17
values_7,10
values_50,18
values_22,16
values_4,19
values_32,6
values_77,13
values_91,22
values_42,14
values_13,22
values_41,14
values_55,6
values_31,28
values_66,23
values_65,10
values_62,17
values_21,2
values_95,25
values_84,2
values_58,18
values_64,2
values_83,5
values_94,30
values_0,9
values_99,4
values_96,8
values_67,21
values_61,6
values_43,12
values_2,20
values_54,22
values_30,8
values_59,23
values_85,17
values_74,12
values_90,4
values_18,31
values_52,27
values_44,11
values_17,12
values_36,17
values_49,2
values_86,16
values_37,19
values_56,27
values_63,25
values_35,22
values_97,30
values_75,10
values_57,7
values_88,5
values_10,10
values_53,12
values_8,5
values_39,8
values_47,29
values_60,11
values_89,25
values_51,20
values_14,11
values_28,2
values_16,21
values_34,2
values_82,28
values_46,21
values_27,14
values_20,8
values_9,20
values_92,15
values_3,32
values_98,11
values_29,11
values_80,22
values_73,28
