inputName,n,key,arr[n]
values_11,24,5,"{5905298629078751916, 2494092749217920127, 9002762559318850435, 4672089976764997024, -840579083457868553, 6524127822790288746, -1336878613075054732, -4823589484669647344, 4205117695863049814, -3725670471738625006, 6529034378863742358, 3299586603375198095, 5873374530443955949, 7396486608395229534, 5630115353185259148, 6719868777658524946, 4918657356823628143, 2878517222340557628, -910951869626849516, -2436014877804690106, -1110580770782777155, 3857787618190898040, 977915358446449540, -6190222960313088793"
values_19,24,15,"{-1134186468980591973, 2926842601502347893, 2825284824255318285, -7436326020116123738, -6236826757032596991, 2588918015438291942, 6946676618816212301, -6254763471550972760, -953219573247621550, -1944274031498612621, -8755417998873551282, 3186550000574074107, -1363586038882773309, 1267343590823308933, 2712079416720420610, -6095010408737789659, 1044922964604915366, 4118270567747829099, 2323868723817195681, -840267181834074930, 7123202909116184328, -3776015260772391307, -2667639507490503766, 7917395254333837593"
values_12,24,4,"{-7362658544532572669, -1552692031794423452, -6314005711826265588, -3729844338067768568, 8202015788158343641, 6940327515722832649, 1255683463536680422, -5587594031769122896, 850756310288384807, 3850035596363825540, 3505641518949355530, 629279850257916480, -4299509500846813680, 8944599728688331895, 9123234066033074062, -5775344790732080996, -3507403803325952980, 1929373018805041234, -440011562153559472, 2158762591446913580, -8528764748745685326, -6560220029042779801, -3466231870405459450, -5769546083228623760"
values_38,27,8,"{-4996874325916618130, -6844163304218935753, -2641362287890481650, 5237191693206222562, 172339248403518665, 2982916802766180400, 7364964913165341246, -2420189719970926173, -2196981560775452044, -800089247599569372, 8305986647673423697, 4504480983422937633, 6456300054410269084, 2018511924117306951, 7692726854020431306, 5435179829691108828, 9206993376674136171, 6071087346148070627, -4546061559600006391, -7069176545000918212, 1941739933709620785, -3559831000072169657, 8445591823140796573, 5487287259514792381, 941373831881712003, 8745337240381179656, 5327057449833036454"
values_81,25,5,"{3412412112912163065, 3070782937309771499, 4555681985798380942, -6981809537131708431, 20984502095721123, 5498912955940171280, 5718333451416049832, 76918133012077, -1862487435544578893, 4235517960606305065, 4827262135691509087, -9029546409313153345, 5618328995522447148, -2251968357704961911, -3195096356591873134, -783089835908322010, -3868960294759559338, 3488924686605675278, 2379178228852357405, 3143371127715648958, -2398105095037928156, -6850198360015016064, 2412500565961756040, 8039272933387811111, 3717066064418242880"
values_5,30,9,"{-8528156473299045410, 6167799097362052305, 4302496055594929079, -5628218026816381115, 2178008040905042715, 5940481332709484563, -278888945391441997, -8792068452401078508, 3415573941862615046, 7049908272107884357, 5215844568033337713, 9091401166217285765, 3752795420652546470, -148986517975941838, 718096860889969005, -8028718278637280189, -7237876299308135137, -4837109698037933959, -84696418641420507, -7258967890281697646, 8286032960935232207, 397114020103575667, -3755141987959386592, 4181052883027008133, 7916570642647371597, 4934047698773578927, -5189153243447135243, 9179933352297366706, 5129914369223270084, -1895537813147744601"
values_40,20,12,"{-4294953892237973344, -282559904229459738, -7443136948861657306, -9076017548490483484, -4630385810030084148, 5904109550516708366, -4334677470409632665, 6970820454034466893, -401210512145687074, -3752850339245250171, -7128478725339546311, -3313394670492067604, 650003628447229195, 4743633600968375381, -422074878323562671, 7854053380258949060, -210581023660091625, -4758689533232295647, 254468618492968931, 3785956184127713790"
values_70,8,12,"{1993195170309410681, 465051499462753319, -3023350780879508552, 8975121762006704476, -6459543349279499780, 6121737129241705489, -8715841388644965237, 3009693696919046078"
values_23,2,28,"{-3190416916329075683, -1119842616761759872"
values_72,8,4,"{50334174730113360, -5847293089106711855, -5066978635443933609, 3606938924954621578, 8356051341793074383, 5606976582772705106, -7980734151439114170, 6752393574477691346"
