inputName,val
values_11,22264
values_19,25688
values_12,21418
values_38,29978
values_81,11924
values_5,929
values_40,25463
values_70,367
values_23,25356
values_72,24032
values_79,4102
values_78,26090
values_87,32324
values_6,13743
values_68,25583
values_69,14330
values_1,7194
values_45,16955
values_33,16334
values_15,2064
values_93,26463
values_24,12440
values_25,4090
values_26,9043
values_48,28181
values_71,31603
values_76,23
values_7,5612
values_50,31211
values_22,2104
values_4,24715
values_32,5214
values_77,13558
values_91,17117
values_42,7552
values_13,14937
values_41,11001
values_55,10676
values_31,7313
values_66,32576
values_65,3366
values_62,8580
values_21,13753
values_95,20549
values_84,15147
values_58,23584
values_64,24382
values_83,444
values_94,17695
values_0,11664
values_99,3395
values_96,1718
values_67,12748
values_61,12741
values_43,3850
values_2,32765
values_54,15663
values_30,26291
values_59,25226
values_85,11093
values_74,25372
values_90,18319
values_18,28208
values_52,4917
values_44,10349
values_17,19092
values_36,296
values_49,11620
values_86,17334
values_37,26603
values_56,844
values_63,20835
values_35,842
values_97,2977
values_75,30728
values_57,3853
values_88,22678
values_10,6972
values_53,21019
values_8,25041
values_39,16738
values_47,11583
values_60,6371
values_89,12034
values_51,14693
values_14,23055
values_28,2758
values_16,6000
values_34,3250
values_82,22154
values_46,3313
values_27,20166
values_20,23759
values_9,29329
values_92,31254
values_3,11097
values_98,6150
values_29,22154
values_80,30914
values_73,24715
