inputName,n,key,arr[n]
values_11,10,7,"{658018737.256, 2001587400.655, 537231289.911, 2077369391.577, -996642747.814, 1742175500.995, -305634544.171, 1051620023.13, 1443126255.371, -1292166713.9"
values_19,10,3,"{950424027.442, 601268942.307, -1110601573.812, 1072977275.377, 650004262.688, -1065748767.253, -810265969.662, 842304075.765, 2073813025.75, -1920408573.77"
values_12,10,27,"{1018300419.849, -332163569.839, -696339456.035, 1441914123.737, -1940361174.909, -705743977.23, -1946632282.946, 204070992.839, 405641473.206, -50450187.726"
values_38,25,3,"{-19016627.314, -977443760.624, -1985808738.891, -92896229.71, -673824164.963, -1266588397.958, -1730923417.973, 1128875220.489, 1979121041.106, 909306560.262, -337990871.513, -167124991.45, 341274183.5, 1814696173.309, 1034755489.111, 1104206995.162, -134378826.08, 1305682468.992, -637986575.697, 1705324445.202, 1769180159.669, -20392623.015, -500276763.295, -1146040603.667, 482211659.552"
values_81,11,7,"{2124035465.982, 530466230.002, 1117193247.385, 708941532.711, 1860442013.356, -1013892079.729, -1203675237.513, 607594505.098, -1562219739.423, 306878035.144, 1266387203.397"
values_5,16,17,"{1464979667.232, -2108907015.339, 422857911.498, -1304603247.18, -311914084.222, -1256809274.342, -964278380.921, 856187046.252, -1459934781.415, 344357679.76, -1182981658.2, 461823311.553, -1034333807.354, 451646973.173, 1512847842.685, -1754998807.872"
values_40,18,13,"{1339675395.564, -229754861.874, 1523934485.451, 889412756.938, 300945225.032, 1143171524.845, -503997190.939, 1532007877.726, 1831697417.458, 596314788.86, 1974607701.708, -846632625.965, 1493084999.145, 1057843910.41, 2068379210.949, -1844273799.653, 1260778097.262, -140674603.355"
values_70,4,13,"{1101574986.268, -956733262.605, 898375364.907, -1518130555.873"
values_23,11,24,"{-1571824315.82, -1388682493.662, 1212743596.787, 2031288420.886, -1677588228.487, 1516094461.118, 1025481825.762, -611727644.443, -1207049966.831, -763384301.069, -808666579.283"
values_72,4,27,"{-1353206199.502, 1173489998.016, -1409220378.358, 1708077750.127"
values_79,4,3,"{-1258409109.783, -1071967078.194, 192933918.718, 1349837652.695"
values_78,4,3,"{1018823312.621, 1883900637.437, -1338169769.694, 1938976255.852"
values_87,11,32,"{1263956293.254, -1096325150.939, 959141178.59, -1056510315.082, -2069065521.27, 335148643.293, -1598257813.214, 1073878602.119, 1877402795.794, -615133136.052, 1889558087.139"
values_6,16,28,"{-1925162899.122, -1438558823.207, 1969813425.09, -967787485.358, -1725030445.22, 613509524.814, -1359068077.429, -972561090.863, -1163066640.962, 661353480.374, -1764881774.825, 283071664.023, 732411669.244, -925207747.599, -1705865826.016, 968328235.626"
values_68,10,3,"{-1707731340.869, -1168409640.256, -1458736125.462, -565615670.175, 784682189.162, -37385554.681, 1696452460.193, -381781588.152, -1083273327.981, 942407135.519"
values_69,10,3,"{1672295186.877, 1064312994.418, -872259056.19, 1733009898.709, 1552911305.421, -968807321.394, -492924196.678, 278403842.167, -1371932029.993, -927109151.388"
values_1,16,7,"{-493467084.825, 1137587964.568, -297637466.822, 1412894810.304, 1380392087.869, -1651821831.2, 1237425530.197, -1931492847.734, -92604362.595, -319804081.447, 1484684772.595, 2095510911.933, 501500029.045, -1255296835.718, 440739900.43, -712175483.708"
values_45,18,17,"{1895799046.811, 124633384.177, 1600021346.452, -447897780.158, 578699905.99, 343880369.0, -957899881.175, 1110504992.094, -1561598931.137, -989175578.65, -790044801.246, 12705002.109, -650036653.819, 2096416588.007, -1869049958.222, -1375428408.769, 561984747.585, 458450847.789"
values_33,25,24,"{1137572646.851, 816576623.03, -1156003835.636, -390158641.545, 987745744.855, 775599935.774, 705062649.124, -1394507165.532, 1472370659.921, 2022340175.024, -1526465729.243, -1853415602.861, -1468999417.433, -219143962.398, -173268497.986, 1728072945.369, 678968976.51, -1294981842.354, 2037891281.634, -2005335251.48, 88547458.268, -638940738.701, 1851122912.573, 1651448178.421, 2021759471.2"
values_15,10,17,"{-258126363.413, 608351512.169, -288069076.165, -1173903860.944, -1114682658.651, 1854460820.624, 827464374.255, 1116615933.546, 181277097.998, 1952993076.084"
values_93,26,24,"{-1300114774.813, 1948292888.194, -1919502616.499, -942149226.47, 1287486437.904, -2087804743.491, -1952107452.629, -1678394558.143, -28316151.466, -889636288.76, -24039509.183, 531166060.639, 1611013435.879, -439429265.637, 1944212444.95, 1630383108.265, -1194845185.751, 1555758293.723, 645341335.64, 1827563991.028, 1741369181.158, 1019089266.427, -1228882258.751, -970793721.602, 1148101890.954, 1383934614.676"
values_24,11,9,"{-1581214593.741, 1947821724.092, 1749075858.767, 506957504.107, -706517825.556, -499283642.362, -2110733921.863, 1853849966.414, -1496920765.799, -789335024.375, -249598589.175"
values_25,11,17,"{-1717940370.635, -354615912.37, -234553339.742, 918112378.437, 716011698.327, 745339753.322, -653462361.49, -1095199390.648, 1003904867.484, -154999143.36, -1464354717.381"
values_26,11,28,"{-1659060997.218, -630739963.718, 200728282.543, 1736757883.244, 1963420287.419, 566551270.499, 207479278.295, -1389557902.055, -2012663035.72, 46476768.555, -1739241092.672"
values_48,18,3,"{-690084079.667, -391146622.325, -451463263.401, 1099230782.392, 888075390.897, 1944739348.553, -420900381.203, 1504337146.326, 209554100.886, 1008551410.626, -1134791348.734, -1403651564.849, -683484321.84, -1134932650.812, -1912456755.761, 595735124.354, 346654243.601, -820475757.493"
values_71,4,7,"{-1758506667.162, -2043469525.221, 256761509.726, 297450911.852"
values_76,4,28,"{-38641988.641, 1507135207.636, 1075632182.264, -1685034850.323"
values_7,16,32,"{-304894732.41, 844060372.537, 1009705519.345, 966961976.514, 47369695.161, -535408669.639, -1394551508.098, -1675714106.102, -711124139.065, -252766741.919, -1574449050.89, -33600228.756, 1488328120.917, -956816530.409, 657220837.472, -1435909324.545"
values_50,29,13,"{-1429321530.316, -1715348176.517, -1818741907.85, 1258363962.671, -1521186699.386, 1600773272.183, -1467601478.089, 923752994.459, 701723889.577, -1763805709.077, 1864638699.59, -438351401.933, 475513143.118, 1340308630.584, 512933535.869, -1852265320.891, -1310746868.392, -1893155504.414, -1809422998.5, 1184355050.426, 536593867.6, -1521307109.984, -994150479.736, -161239612.517, 745831998.992, 288961271.999, -34608155.759, -221636599.361, 1102941982.338"
values_22,11,27,"{2062697961.129, -1180209978.877, -1417562423.544, -233426187.353, -409238847.459, 149527537.251, -699536908.306, 1758514654.523, 2089818751.912, -1021905564.237, 756596747.511"
values_4,16,9,"{1165528932.185, 943436482.296, -1234620676.945, -916909454.05, 990713163.385, 413876001.811, -1626506359.489, 862458291.469, -266774741.976, -394470424.765, 2137442533.406, 1148035074.898, -1870453486.074, -1286892419.862, 1621737041.819, -372509807.304"
values_32,25,27,"{1042469337.16, -1676201991.047, 1771571266.381, -113059138.853, 1787817362.846, 415010848.387, -1795404349.903, -64748796.909, 1948130943.948, 509738054.522, -1892361732.761, 1132965287.458, -359836806.289, -181731488.356, -818596063.013, -1348870792.754, -514686089.543, 2103052853.367, 637536247.325, -957264604.355, 519419365.756, 1723935973.526, 1846337488.553, -2070098513.371, 866789445.235"
values_77,4,32,"{2038694424.469, -1454401263.37, 775473379.084, -1273897896.815"
values_91,26,7,"{149497735.255, -1188032858.965, 1090058171.693, 1619195833.831, -370650866.192, 1212375800.997, 179414806.687, 783543100.13, -1219624486.143, -2097008046.126, 122600418.761, -105197133.869, 36911653.693, -341248799.803, 25344556.785, -1412077484.837, 1417311381.181, -552679714.365, -902828947.401, 122041058.093, -1085366274.964, 2071915776.327, -1299641122.218, -2080916491.094, 1396379997.372, -1188306331.853"
values_42,18,27,"{1947418405.212, 1765611769.564, -1276288264.904, -2104067265.363, -102956243.423, 438746317.692, -1723743979.182, -202157322.463, -1088697141.052, 1295439385.686, -530869155.411, 724191003.429, 208167313.745, -1497896407.137, 1237023986.743, -152050710.773, -1573452761.36, -639532842.913"
values_13,10,24,"{379066495.411, 466959767.1, 1754899233.306, 981433247.945, -259716791.975, 2109190071.512, 538842479.014, 188008884.063, -344598178.195, 1344198092.704"
values_41,18,7,"{332543932.935, 1743038769.358, -219700715.347, -1045039496.354, 1234061153.002, 880527207.291, -1397204171.348, 1033184847.547, -2109106629.195, 1754820672.131, -1196660606.4, 1460640175.596, 487628457.984, -553349532.408, 1735734768.388, 166193123.066, -1002711142.121, -452987921.231"
values_55,29,17,"{411417429.258, 1467389066.671, 1901694980.491, -1833248405.124, -807254443.755, 1060905720.022, 36880492.773, -2090628692.329, 1066526722.296, -915851777.047, 207509708.934, -2012552005.127, 1712447461.694, -1969338631.171, -37862036.132, -2130033537.956, 1616649561.621, -82705137.173, -1194862292.912, 1178273375.307, -927704362.966, 919630057.302, -19676365.716, -1283989763.668, 2023486351.621, -1493269359.7, -1216958022.453, -1132349014.368, -1782869591.725"
values_31,25,7,"{-780041781.653, -1809182451.868, 1445274918.687, 1889833018.506, 1456338655.556, 1551646468.892, -1591245518.188, 2047609190.758, 1365355050.756, -1047868707.834, 309853667.856, -526807267.247, 294385565.036, -1159780067.993, 1083346663.802, -2047645002.63, -1002578632.767, 85157148.858, -1500516817.061, 691340986.433, 1891225080.824, 393366315.258, -1033693415.661, -1304202056.096, 513219509.439"
values_66,10,28,"{-2137239331.101, -1962795676.466, -1548817070.178, 22776910.211, -1227832542.006, -2093466933.852, 937331928.465, 469515508.389, -1997165731.444, -1081085531.018"
values_65,10,17,"{-1593931715.969, 1235529244.441, 1811112229.791, -1077257688.586, -1734138165.355, 2073039455.161, 108872880.514, 1350315647.892, -255386932.037, -871664488.973"
values_62,10,27,"{-1274845579.441, 1717590748.989, 611445311.628, 1503113745.071, 1921840035.652, 940166379.661, -389976292.016, -1031460335.116, -857256593.154, -881885757.389"
values_21,11,7,"{1283738825.797, 745680585.992, -1456841095.251, 919014712.803, -1451113739.969, 1760796777.504, 135443898.711, -218111925.501, -1810707218.878, -400319652.509, 272471227.164"
values_95,26,17,"{2092412409.649, -817450454.559, -717346671.465, 1542982715.192, 729866420.616, 2082172081.599, 1950984847.823, -1000696664.714, 1896377280.105, -1614841721.937, 1586957166.453, -601267407.946, 487575834.389, -974120514.214, -979511080.05, -68221902.858, 474518461.77, 1195218494.796, -1208899289.072, 860401443.86, -793171238.203, 1877723746.577, 1201261645.197, 456693179.152, -844405995.28, -355316408.847"
values_84,11,9,"{888834286.44, 845947275.87, -1165949741.597, -2015575002.817, 1261787734.154, 381965075.796, -629782476.749, -638912405.578, -419020988.154, -2017624116.578, 518110032.418"
values_58,29,3,"{-93956637.841, 1418921953.65, -822607320.135, 1900690767.97, -1499282626.233, 1865609722.631, -2021149469.269, 1521914066.707, 1795403153.811, -2131455353.992, 1045208061.439, 781799035.57, 594806689.292, 1026463854.395, -696020061.54, 897114972.809, -1146303111.18, 746883566.708, 1463785197.286, 1256732148.88, 1475663768.635, 1283910077.967, 1921861545.209, 1376639918.3, -768690396.391, -136435412.98, -2000847879.079, 1378591028.461, -258471820.235"
values_64,10,9,"{667146762.198, 1089449495.131, -1380507419.923, -42638843.543, 1050622957.747, 1506390377.867, 274865036.84, 2073784799.801, 1351567777.196, -1343594715.319"
values_83,11,24,"{-990797460.584, 1673806890.683, -1335771461.632, -151023912.461, 1289288932.169, 1305879367.542, 1412806264.524, 601261132.37, 1126501279.413, -2039148265.286, 95198587.049"
values_94,26,9,"{2097472821.46, -1377617669.331, -225448382.39, 1157532078.5, -2116658621.234, -2093297307.93, 954358248.783, 1831694690.237, 1263250258.022, -1509685767.254, -2119341277.034, -1808960762.748, 140031983.836, -1392065628.38, -138874592.418, 589543851.432, 1282544971.508, 650158949.266, 1643187846.193, -253501784.279, 234216632.575, 1007646904.791, 930425057.506, -1090463015.94, 277415050.504, -2063832486.264"
values_0,16,13,"{-923038319.555, 912389398.384, -2090413556.601, 1742762750.809, -942481801.401, 1073179704.039, -232111484.786, 761694130.628, -320297185.536, -153549548.826, -749710077.253, 1654874945.325, -1517171990.016, -908937584.466, 1133579182.513, 1123501316.75"
values_99,26,3,"{688078704.126, 1081926980.766, 1001182512.179, -1468418761.345, 959473551.925, -1240239491.345, -1553585625.341, 684556555.846, 1959168824.57, -433315333.734, -1043115451.499, -1327554728.665, 1736289042.908, 1782411609.344, 2136749823.352, 649898273.761, 1687152183.197, -711112723.88, 309489798.814, 980634222.03, 172561830.509, 967888943.575, 1316586452.301, -67146128.217, -85296434.268, -1003782774.887"
values_96,26,28,"{1971871972.029, -1857945008.069, -935696945.314, 1416743068.005, 1784755673.009, 1322896057.22, -1707580360.537, 80236033.622, -1502406539.318, 1625777206.262, -398924243.044, 1901025379.513, 269649632.107, -1097133292.445, -1663323710.172, 1810047878.799, -1895463823.091, 236360511.696, 1888745503.255, 717566975.689, 95725394.31, -524882463.273, 532908509.901, 1267238639.514, -350157516.163, 477344491.866"
values_67,10,32,"{-473624111.853, -1978749942.534, -270795496.212, -1655865078.654, 505098309.903, 1168816764.068, -203955560.329, -516574422.849, -439538593.88, -1516372520.883"
values_61,10,7,"{-646143878.427, 601925941.867, 1499218721.117, -1952884245.543, 2062950984.649, 392915080.26, -2042145889.268, -124558572.066, 1914889428.763, 495987024.423"
values_43,18,24,"{1844108291.206, 1767838300.4, 106694007.878, -1298403385.276, 878501184.759, -66324881.064, -2094482526.914, -1201820466.814, 634635677.097, -993364795.854, 58803374.933, 1699535463.48, 2073531951.283, 1832237601.029, -946326268.222, 2086193200.296, -528439904.689, -1590636319.869"
values_2,16,27,"{-1733083086.801, -640006218.655, 1107088839.483, 1312617196.079, 1174639363.615, 24610957.324, 1994166841.515, -1091209634.14, -977523165.927, -2074619685.275, -1723129285.481, 525208350.968, 785494705.435, 708842014.218, 1192589296.226, -1370597752.371"
values_54,29,9,"{-1793326053.845, 180964091.141, -378815456.907, 1594326990.886, 81426664.927, 1533362571.305, 1073112436.877, -1240696836.24, 452616447.975, -2122638284.722, -1210996280.293, 2111362303.925, -1625668978.227, -328069130.988, -1847107496.208, -764640384.834, -2119904962.102, 1085930588.574, -2021564067.734, -829732630.497, 289670314.123, -1213942112.124, 2029493231.837, -459333085.209, 1947494109.44, 1066535149.329, 1863688753.631, -280811186.498, 1409047945.874"
values_30,25,13,"{1653506978.736, -1205218958.251, -879064044.28, 440647095.903, 1596521250.713, -1363166047.124, -2080763609.9, 104860454.36, -1003122490.79, 1093852962.529, 725696058.809, 1888236251.302, 235710413.348, 2143628898.054, 1686595721.835, 22574088.902, -1012377115.993, 587463611.033, -1286547953.279, -1882976259.983, 817236875.194, 1910725554.343, -2052762804.883, -39258739.12, -489896430.06"
values_59,29,3,"{724696715.279, 2082366338.719, -1388550469.282, 1938238758.707, -110014278.437, 192993921.037, -1045502304.735, -1479922055.933, -1679578919.34, -1443244579.748, -396310438.366, -767705530.617, 2128835072.337, -686594855.745, 1314025294.699, 734259205.488, 1132580496.694, 1383790426.015, 1971508469.495, -32176625.968, -1365452478.548, 843510608.72, -472886984.234, -1883962422.659, 1203870855.727, 458803832.851, -317907614.131, -1701449026.402, -2058678208.022"
values_85,11,17,"{-964050844.777, 1875538494.48, -1571898802.468, -460873365.837, -1637238748.268, 465768547.613, 245347981.235, 1869567798.342, -1131433305.435, -1893311256.087, 2123191686.097"
values_74,4,9,"{1334780741.567, -1384626635.005, -1076647438.503, 64646782.507"
values_90,26,13,"{-1405259387.707, -2057575650.221, -337088253.191, 1592049091.94, 1736474186.792, -1818487889.565, 462730383.617, 1988020831.014, -1275073098.499, 708213073.975, -1909344930.208, 739277845.17, -1401957205.451, 742732138.886, -1175586997.573, 66360335.833, 481778453.065, -2019259729.211, -243051736.949, -1895863785.923, 1688288538.184, 678880930.103, 2118090232.36, -1497534666.72, 644484537.504, -369691756.142"
values_18,10,3,"{-966670788.221, -833679997.415, 808546129.078, 1879147866.708, -1503115106.955, 504266014.923, -738028642.266, -1773882652.511, -2118726140.505, 280204248.79"
