inputName,size,arr[size]
values_11,25,"{-80, -86, 26, -26, 112, -1, 122, 43, 17, -107, -86, -98, -84, 22, 81, -105, -101, 38, -50, -18, 89, 24, -38, -40, 43"
values_19,32,"{4, -92, 38, -95, 84, 60, 39, 6, 105, -5, 74, -44, -111, 111, -55, -66, 47, 39, -86, 37, -100, -2, -9, -37, -127, 79, 51, -22, 96, 72, 55, -83"
values_12,16,"{-12, -56, -76, -74, 24, -15, 120, -85, 114, -29, -50, -47, 120, -77, -87, -49"
values_38,11,"{72, 18, 46, -100, 68, -107, -6, -128, -119, 3, 24"
values_81,27,"{2, -88, -71, 43, 95, -90, 63, 6, -72, 6, 35, -91, 121, 28, 0, 49, -73, 66, -3, 1, 12, -121, -23, 89, -26, -104, -82"
values_5,25,"{95, -29, -121, 107, -88, 93, 72, -120, -113, -117, 30, 50, 30, 105, 83, -108, -56, -108, 0, -5, 58, 79, -57, -98, -3"
values_40,25,"{-26, 53, -127, -28, -72, -26, -17, -9, -36, -53, 55, 14, 121, -91, 4, 44, -12, 24, 27, -50, 14, -36, 84, -101, -38"
values_70,27,"{80, -109, 23, 53, -117, -27, 39, -54, -43, -10, 32, -23, 51, 85, 91, -92, 28, -19, 126, -24, -70, 110, 26, 30, 83, 2, -36"
values_23,15,"{58, -72, 44, 52, 2, 1, 95, -30, -123, -64, -6, -21, 105, -5, 126"
values_72,3,"{44, -9, 2"
values_79,2,"{95, 74"
values_78,29,"{-108, 50, -16, -116, -111, -114, -43, 102, 126, -4, 52, -88, 33, 39, -87, 115, 3, 53, -4, 107, -62, 74, -13, -47, -8, -40, 18, 23, -54"
values_87,7,"{77, -67, 117, -69, 46, 21, 81"
values_6,20,"{-87, -19, 121, 103, -78, 74, -90, -44, 43, -97, 68, -96, 23, -69, 50, -82, 19, 40, 97, 38"
values_68,24,"{116, -103, 79, -128, -16, 16, -126, 85, -97, 60, 33, -52, -67, 114, -66, 59, -25, 52, -90, 71, -89, -47, -34, -65"
values_69,15,"{-72, -121, -111, 74, -101, 34, 78, 42, 123, 28, 86, -95, 111, -35, 15"
values_1,21,"{-10, -76, -64, 74, 38, -16, 15, -31, -110, -6, -78, 34, -89, 20, 29, -19, -74, 103, 81, -38, 96"
values_45,9,"{-112, 126, 110, 52, 69, -126, 42, 99, -118"
values_33,2,"{35, 94"
values_15,23,"{35, -93, 124, 116, 52, 24, -101, -118, -16, 25, 90, 92, 31, 102, 96, 70, -91, -22, 29, -126, -96, -75, 79"
values_93,30,"{23, 94, 82, 68, -106, 80, -108, 22, 101, 101, 12, -82, -27, -12, -53, -49, 19, 45, -53, -57, -33, -65, 89, -28, 54, 49, -94, -59, -8, 87"
values_24,24,"{-117, 21, 12, 27, 22, 7, 117, -3, -107, -7, -9, -7, 5, 95, -4, -124, 70, -30, 80, -1, -87, 44, -117, -66"
values_25,4,"{1, -1, 40, -42"
values_26,29,"{101, 71, 70, 80, 4, -74, -119, 36, 48, 41, -87, 26, -97, 16, 23, -20, 92, -19, 95, -88, 2, -105, -101, -98, -84, 38, -73, -1, -100"
values_48,32,"{18, 96, 85, -80, 113, 123, 9, -82, -22, 109, 42, -105, -20, 89, -26, 45, 48, -73, 18, -89, 91, 78, 84, -45, 102, 83, -35, -96, -29, -100, 109, 88"
values_71,2,"{-76, -48"
values_76,22,"{31, -50, -23, 1, 28, -110, -3, 2, -51, -60, -8, -2, 28, -11, -58, 6, 98, -20, 6, 107, 45, -30"
values_7,13,"{-87, -128, 8, -124, 79, 92, 53, -68, -46, -85, 111, -49, -68"
values_50,2,"{-75, 102"
values_22,14,"{-9, 17, -5, -3, 60, 73, 85, 114, 16, 66, -105, -79, -45, 54"
values_4,16,"{-122, -121, 68, 93, 29, 22, -44, 92, 26, 71, -64, -113, -42, -55, 28, 78"
values_32,10,"{-76, 53, 32, -121, 127, 35, -49, -113, -22, -99"
values_77,27,"{-20, -51, -34, 65, -110, -70, -78, -119, -14, -116, -27, 23, 126, -20, -81, 125, 67, 89, -87, 30, -77, -51, 0, 117, 72, 59, -120"
values_91,3,"{64, -25, 112"
values_42,28,"{-61, -83, 85, 115, 117, -127, -71, 86, 71, 87, -61, -62, -77, -39, -104, -9, 61, 83, -65, 92, -27, 80, -103, 72, -114, 63, 37, -59"
values_13,8,"{-23, -68, -30, -47, -120, 71, -17, 127"
