inputName,n
values_11,23
values_19,22
values_12,22
values_38,4
values_81,21
values_5,20
values_40,3
values_70,25
values_23,12
values_72,4
values_79,4
values_78,23
values_87,16
values_6,23
values_68,22
values_69,7
values_1,30
values_45,2
values_33,6
values_15,8
values_93,12
values_24,14
values_25,8
values_26,21
values_48,3
values_71,6
values_76,26
values_7,15
values_50,25
values_22,28
values_4,16
values_32,4
values_77,26
values_91,29
values_42,2
values_13,16
values_41,18
values_55,6
values_31,20
values_66,9
values_65,30
values_62,27
values_21,29
values_95,11
values_84,6
values_58,12
values_64,30
values_83,11
values_94,32
values_0,27
values_99,31
values_96,30
values_67,19
values_61,5
values_43,5
values_2,21
values_54,32
values_30,22
values_59,23
values_85,25
values_74,11
values_90,25
values_18,10
values_52,8
values_44,10
values_17,2
values_36,17
values_49,9
values_86,25
values_37,26
values_56,14
values_63,27
values_35,24
values_97,9
values_75,2
values_57,26
values_88,10
values_10,4
values_53,8
values_8,20
values_39,24
values_47,4
values_60,21
values_89,32
values_51,28
values_14,24
values_28,7
values_16,17
values_34,28
values_82,9
values_46,22
values_27,7
values_20,22
values_9,15
values_92,29
values_3,21
values_98,23
values_29,15
values_80,13
values_73,26
