inputName,k
11,148
19,148
12,148
38,145
81,55
5,178
40,189
70,159
23,18
72,159
79,159
78,159
87,55
6,178
68,44
69,44
1,178
45,189
33,145
15,148
93,186
24,18
25,18
26,18
48,189
71,159
76,159
7,178
50,18
22,18
4,178
32,145
77,159
91,186
42,189
13,148
41,189
55,18
31,145
66,44
65,44
62,44
21,18
95,186
84,55
58,18
64,44
83,55
94,186
0,178
99,186
96,186
67,44
61,44
43,189
2,178
54,18
30,145
59,18
85,55
74,159
90,186
18,148
52,18
44,189
17,148
36,145
49,189
86,55
37,145
56,18
63,44
35,145
97,186
75,159
57,18
88,55
10,148
53,18
8,178
39,145
47,189
60,44
89,55
51,18
14,148
28,18
16,148
34,145
82,55
46,189
27,18
20,18
9,178
92,186
3,178
98,186
29,18
80,55
73,159
