inputName,key
11,16
19,5
12,11
38,5
81,16
5,12
40,32
70,32
23,20
72,11
79,5
78,5
87,6
6,17
68,5
69,5
1,16
45,12
33,20
15,12
93,20
24,23
25,12
26,17
48,5
71,16
76,17
7,6
50,32
22,11
4,23
32,11
77,6
91,16
42,11
13,20
41,16
55,12
31,16
66,17
65,12
62,11
21,16
95,12
84,23
58,5
64,23
83,20
94,23
0,32
99,5
96,17
67,6
61,16
43,20
2,11
54,23
30,32
59,5
85,12
74,23
90,32
18,5
52,11
44,23
17,6
36,17
49,5
86,17
37,6
56,17
63,20
35,12
97,6
75,12
57,6
88,5
10,32
53,20
8,5
39,5
47,6
60,32
89,5
51,16
14,23
28,5
16,17
34,23
82,11
46,17
27,6
20,32
9,5
92,11
3,20
98,5
29,5
80,32
73,20
