inputName,idum
values_11,-18362
values_19,-32642
values_12,-4159
values_38,-32589
values_81,2995
values_5,10550
values_40,241
values_70,-11437
values_23,-2133
values_72,-5733
values_79,-32429
values_78,-13811
values_87,-6701
values_6,-19335
values_68,294
values_69,19779
values_1,-8051
values_45,31808
values_33,-28214
values_15,27059
values_93,-10794
values_24,-11840
values_25,31225
values_26,6221
values_48,24752
values_71,-13619
values_76,-32438
values_7,-25962
values_50,-3949
values_22,26028
values_4,-5891
values_32,-5221
values_77,-30379
values_91,8419
values_42,-7911
values_13,32309
values_41,27377
values_55,-2362
values_31,-24234
values_66,31541
values_65,9207
values_62,-14419
values_21,3852
values_95,-6089
values_84,-13940
values_58,20041
values_64,-12699
values_83,-26173
values_94,3263
values_0,9113
values_99,-10840
values_96,-21138
values_67,-80
values_61,-28454
values_43,2832
values_2,-18678
values_54,-20909
values_30,18744
values_59,5518
values_85,5872
values_74,-19649
values_90,-25192
values_18,208
values_52,8593
values_44,10222
values_17,29257
values_36,22014
values_49,23941
values_86,8387
values_37,16777
values_56,24284
values_63,-12212
values_35,9226
values_97,7900
values_75,-3027
values_57,24451
values_88,-9188
values_10,-6914
values_53,-29646
values_8,-23536
values_39,12440
values_47,9689
values_60,-18844
values_89,-1580
values_51,7327
values_14,-29538
values_28,-2916
values_16,16104
values_34,1559
values_82,16579
values_46,-306
values_27,8884
values_20,-12308
values_9,14293
values_92,-12285
values_3,-5921
values_98,-23656
values_29,15688
values_80,-27081
values_73,-4405
