inputName,size,a[size][size],b[size][size]
values_11,5,"[[-1901243462113586402, 1701208760059011870, 6612142559333219088, -1929368043880112851, 2781069828627281184],[-1853041812520373835, -8447645624941688718, -8819977329294287452, -3959162217313015190, -4180998698632628476],[5039307441186527967, 2172079866390378946, 5109531803504965893, 576488760619927599, -7755632987316702989],[5905910156062741593, 7016934133682384636, 9068356988812169633, 7123474045511342832, 198105309201561611],[2114920052152507905, -7994671268777839412, -1299085232747902554, -3194272954991731138, -2451701494620547297]]","[[-281252898446502652, 6986938172770613507, -2534592614396835817, 4647314806668047976, -7252908146211297278],[-7025391618243388106, -6066029367348836302, 6480666342043784035, 1290427923475401999, -6243445210296643213],[8105102674306025903, -6418750651829023689, -3557230099857352189, -1476501000899067716, -135433864096855107],[7162744847572408079, 5001179429718634814, -2468294929472126251, 6450915372139187261, 2899879055310818962],[3774673900690459906, 901603697467844563, 4201791485769102077, -2393168523468104452, -1291721737053966019]]"
values_19,2,"[[4208801477049456374, 457574598235702808],[-7860582790551069541, 2400190552711141129]]","[[-6197490342062579741, 4062811082463962731],[-5436521838874931376, 4912868603393636333]]"
values_12,4,"[[-983549497438837898, 7975262445585689944, 6623303848723758315, -1203844470660880552],[5372698534928686239, 7561994371099129404, 1035753855839746551, 8393593354823074558],[600962315610950941, 51963195595340768, -1031700996958414741, 3065931077839958244],[-3727017879730066116, 7127996390655218457, -8083108325585210243, -1498797434566916383]]","[[-2691015004109464902, 7727369948639501692, -5533797270429453016, -6652201638294518966],[-1001563727308194557, 5463870571478380994, 8950684189005546651, 6373787530549488715],[-3374999893571839026, 780712957779815795, 2347109894097141157, -1188545224136782215],[1120616399867307007, -6029570834458107200, 6563963322723423178, -5748544585327480668]]"
values_38,6,"[[-5139453166347615656, -4787924997332621748, 2610727909280993927, -2016932335199178533, 4884388566522484627, 6074557837697265011],[-1827178377910767180, -2842111968190977691, 4009596553249849447, -7200613663085289078, -6828965252623813092, -1759397997084393792],[1255453721112359325, -7929011719713816970, 725415768851936379, 7159624321262053520, 7400217738150931899, 3782351596409533125],[8222061156664488013, -7826117087723266925, 7604460489138074498, -5787650792908681704, -2717870481654836006, -6533145255085293161],[-6458667673665615487, -6530495551177804222, -6128956031225272301, 2585102182046535488, 8970055560777276921, 4480128091506958221],[5374107128056349035, 6306713518884997879, -6282131568809915255, 2004066740863133411, 2039530455072503517, 8731164000041853562]]","[[-5935152198443067710, -4761002960953490193, 4222336114399948999, -3845873538845477743, -6933956211828214133, 2202850160097477079],[-7771142596259396852, 1689977685867577125, -15891809300563946, -6601093751825104508, -7821725350867692817, -1057496124692722378],[-898563215852906981, 1138027202971071825, -7294238497964940225, -6327601000698854167, 2446408792794687705, -4303260977191018321],[5300369323938278685, 3606930996673133860, 6661646344124728712, -995378157599545105, -3415559184194973095, -4888381584241054016],[-8021052621456554446, -803298637018877269, 2304170284546707541, -3094762015091977063, -6780497427794625334, 47284131901286122],[2497768735889326046, 8955534513375722808, 656523505856867354, -5993746554160277237, 7067724746864718115, -7411109965152180739]]"
values_81,3,"[[9036300508112919320, -5496934210285136825, -7054288611130555383],[1834674238142080425, -120251803300860783, -3763187069539888142],[5629208016663297497, -5137570911994668106, -5323501391173043321]]","[[-8436474152958631333, -1100224933707360528, 5241648297336876248],[8913633269854668365, -8616261227589326512, 8546455447437556745],[2013664812045543322, -7273699577973997002, 2661150241256429624]]"
values_5,7,"[[-4756982609248201056, -3422454263324410155, -7394228187956658979, 6763445488383881063, -7843598739043933808, 3343089370865968183, 8769764560836035259],[76343346705617953, -386459078144471441, -8914565309854419623, 4427610458700913902, -4696230720105611896, -2522451284497564105, -7727291069708258701],[6193347692965759010, -3239694957682663668, -887052772305867077, -8202104094016858771, -1637021445065939696, -5274434369342464972, 2814814953878798582],[2175863757355565406, 1891438142921885248, -7927267871849154862, 8289994891469330608, 1723407772698159913, 7581412015120028328, -1282185782897596056],[949446690122531075, -5159407858518229186, -5764003219648971046, -6979852954916304283, 8457599692602355960, 7871831839294408108, -6850464639764109764],[2359050056239627644, -6951635668871816537, 1050939656663954959, -5955675147998205027, 4054658507893678374, -3158253841430406977, -5932684960595703229],[6919987278774346847, -6818351370631278622, -2014940904149246920, -1692659212102122161, -3026049860856076665, -7320251539371789360, 5212986056428149715]]","[[1036839460713033009, -4296403153101658534, 2647658074086104123, -1300542692409535933, 2206539278758685577, 3106448957894045581, -1874616646041972035],[8366499314532653364, 4625888152784562233, -935055650441355092, 2463594401083012409, -2132726102236850366, -7203874796872473052, 5712637840667216844],[-5449249128169900509, 8595980609257489479, 9044933459020666167, 3685047098894880537, 720321572477337785, 5172017153343584250, 8297402320028899632],[-5604201868524241611, -2565228757995436380, 3818532684487745139, 3740169720826928464, -2669080947725893265, -2726493693106516612, -7049648804900111572],[7147919758796137376, -1341639119596164499, -2089000095246823372, -3576025817244922622, 8306532755423430028, 8101673280954535505, 317794814230007395],[-4200126353101162376, 6742557095644684553, -6823308699085074878, -8259211101020208900, -4691854076312146694, 3397684097926554119, 8847026395302570615],[-2220940026412269843, -6272106916346631390, 7732755497558094350, 2743281016944019239, -2509982233534560767, 6848652901721022560, 4325563449095834211]]"
values_40,5,"[[-6423949819625091039, 5762159312600995358, -6711291576357500857, 5908599962008926445, -5452836562820246624],[567509621475777237, 9157290226400207842, 8355210356843328564, -3055985497948007747, -2153856253013300083],[-5992242343581957288, 850764444634281224, -45205029483299083, -4082707301704974604, -2481384206686952768],[1837420824913433430, 1873618365026732027, 9179194460991471425, -6258532873652046888, 3140133717852870180],[1369952528468378717, 2237918818717691490, 6874470875637700817, -1732974423492969434, 7716367449802216890]]","[[5168898480715390435, -277479798697684840, -2803594373407154452, -904414988025861142, 1318178439554239475],[375211328714450687, 5169434223173256528, 399627103521351826, -971149907468791285, -7815563465440542089],[-1669223903712094492, -8254788371589330778, -6336000010596807692, -2894851133979456205, -8885080349351887012],[-1190316197883837490, -404962751548805916, -865848544374170793, -1890775408230404392, -4395072671940288811],[-3836886124454442971, -4726423576123766976, 5209648554842378675, 5634179131557352433, 3521669154073969691]]"
values_70,2,"[[-3433022440377161259, 1405056322556537313],[4005755504888182957, -5935748274874853042]]","[[4302662833106137719, 3702646832026707631],[3447229643333383572, 357739470860469239]]"
values_23,7,"[[-5920870531370117270, -1492991387361416739, 4818317355847225719, -4265100152838809615, -646456962816643226, -8253940245998345648, -4470053820339814011],[-6935278557949091671, -5528403906339909514, 1470228656912086516, -2181438885117302271, 6507201134134872259, 7602241872304113459, 7320784053545146346],[7503772563692190302, -692047221575483226, -5075224516346546980, -7981517022800522431, -4890783782151248367, 857350982282951664, 802721153156816846],[-2866214582523252620, -1627876569562111502, 2777562698915529716, 2696939087356366561, 4905651367444786560, 5235010683820422010, -3879691466097423771],[7833316135996450631, -7483394126097899881, 3069341351866336686, 5563945651918005395, 4846810836456080734, 168405612998911778, -8648582224912562061],[-4661805709434756173, -3008330878616340000, -4412593062544674999, -4081977409953286572, 4508744018628244212, -5154451879925057313, -2902482061030615779],[-133824672663037617, 7707329534135966435, 2321688268639348545, 3304396759803926913, 8440250732054202265, 1263771603146225942, 9206233226963465154]]","[[3174970303961331056, -8418145601105130028, 477979845515255853, -8703213791886080037, -4902076611802934227, -5212636636588810603, 8927510261538287451],[-5105041304612762663, 1941736366000764418, -1453092616183036916, 5211651296610606778, 6260539639532564398, -1305015097109413111, 6396523235427449396],[4873685574487291730, -6212860210011829479, 6039056207617879189, -5815916676453601900, -4358340117398843800, 3509842560903090545, -1233750580354261656],[175559636753072617, 3001959420562507098, 6404073670898144758, -4552666503380044219, 2742481784352509092, 1201606692303472866, -1393820791379739967],[-4496227307218711780, 9145901855781554676, 4349027407150926181, -7709994874080507866, 2190899995052082326, -9189797671041431654, 7743321766658758607],[5942969080688991152, -5039319374244701918, -7353276308007314456, -2576268773125952073, -2850246514817245503, -8370857666563381751, 5014110140874769699],[2655261516353148196, 474074867118115621, -4664972414648465225, 3658635185145354129, -5946697300899154421, -2749541614596777153, 4284609381404732138]]"
values_72,8,"[[-8061387645671981713, -4103009258374347980, 8924960373439230431, -2598877141119979332, 8295211570774018919, -3229250130897941611, 123325618386872286, -8755541555446511680],[3193365397102848577, 5316022624963252819, 4695823308058997130, 2759937705022477422, 684921184722124524, 7125931899510573625, 2817270087997557107, -6625578236589403589],[161516737591857071, 5893904591495593325, 8383969481621054792, 114443098148756731, 8535588546780142957, 24036180819968455, -8789267430121885496, -2802382083671922646],[3585156404009836818, -7178352718581466714, -2568279612244048423, 2444961626748638672, -7280006173005666278, -1683803476177780657, -5544640496381248995, 1670139589965835179],[-1164321878853740212, -1975547485678100178, 6069073972507280810, 9038344635687464888, -2692703583772906017, -4838815090813442917, -64251264314738779, -912306675867479125],[-5716946103000688596, -1739057307043643332, -2708264131683238090, 5922360759788952176, 1138636789921564405, 6781386534256923649, 8229381460514788897, -241934683799286294],[-5614950162793109436, 6655223655570902765, 737659455652954654, 8118987536792060628, 902096009344608982, 7408638193526181566, 802281554588655970, -7829354672082520238],[9146652760874531995, -8486735387412664838, -3882444099896735627, 982248402255708764, 8848052543666566771, 1686349709801181850, -3314680354870179640, -7247775274598581255]]","[[-874032863214189828, -5345277945096121333, -7873689832510975400, 8326717517387641087, 4801877459371380962, -1204423741548860346, 5304303554572630112, 1713387437655639784],[-3957641782978972179, 9109035691792242673, 2566742990018868051, 6128397083672146677, -8147356234921600435, 1148279613359230939, 6213425323445007863, -7957516792629216782],[-9167588700001814167, 6503636868147863215, -4572950821451159790, 6445223011739906131, -9069340224564690627, 4394763107188832337, 202641519880580473, 5824020416119158867],[-5377726748565176151, 4718994200362032557, 1747455730515327032, -4449653901711376308, -7706824866548230730, -7072601780561756941, 7660696022021658663, 5610820344392641271],[-5671440021960183813, -2159085943387145362, -5255323279245965722, 3152060406491240125, 8880197758982124988, 4825998852267151044, -6844431824546637507, 9184457835403723243],[5324704072715259039, 3576902623280170944, -6419321375920437988, 737640031734788017, 6509708150182015283, 1281016005806861857, 2788109500587289115, -4482241571609944872],[-5649021879119878447, 4350666869945892818, 6847482682469777338, -5485588813961774687, 8494528266283241180, -2654953909263029570, -948515778278914540, 9170147384286822781],[8657829003192259018, 2167317246970428560, -1848626607730622005, -7434012129775964906, 2340867906087785379, -3028173189680945202, 6182977344984111673, -3632528174408856169]]"
