inputName,k,size,arr[size]
values_11,55,23,"{-1153525802, 1838794688, -564863513, 1096929056, -380342930, -2088051283, -2062233166, 1816394711, -1478493538, -1241314264, -850889845, 1214162195, -1498742599, 1471497464, 2060301787, 2132246935, -493682120, -364533459, 1884346299, 1554202299, -301071089, -1795546445, -1120733602"
values_19,55,10,"{1213184499, -1292084367, 1081820730, -754481074, 399887724, 1176558962, -940722139, 617655607, 1039782707, -947128729"
values_12,55,18,"{-402366179, 1771770738, 1569125064, 484090243, -1413968315, 461688388, -2056124721, 88563542, 721446325, 424936808, 697545917, -469094997, -975139479, 1490982620, 1767232463, 797252508, 789417901, 229504253"
values_38,195,4,"{-876637112, -332506808, -819251420, 395614776"
values_81,11,23,"{690358944, 1154549077, 46367862, -1394463901, -356174404, 1358879162, -347811251, 161116220, -1762261445, 1944952280, 1950263849, -1500223723, -906318458, -45005727, 1185529888, -257255667, 165905479, -501162802, -1985720286, -112764855, 1813654889, -1644338944, 861511040"
values_5,247,17,"{836514689, 1258528759, 165593677, 600933947, -211031923, -636173460, -220070029, 645674781, -61582783, -458305774, 974620483, 1104223124, 187575546, 487742304, 1745231130, 1466133396, -578330436"
values_40,40,10,"{1902999097, 319668345, -2048439659, 846193039, 706177831, -178520648, 1596751453, -1799673308, 1591113497, -352758222"
values_70,67,10,"{1357459748, 1571497830, -1651383688, -1602078735, 1531437663, 2142043410, 1191943048, 58805061, 656923296, 1709382397"
values_23,119,17,"{361640646, 520151335, -1669184810, -1687290311, 1244251487, -1027651564, 421268275, 153452697, -1245699035, -878623487, 2147231159, -1293606738, -495246817, 1390118404, -690096851, 933496451, -170211957"
values_72,67,18,"{695935120, 1399155737, 1300190913, -1691789856, -310133840, -1026804317, -1463004438, 2142357957, -275358849, 2078591818, 356985240, -1358893941, 1345121139, -39656807, -1721874729, -1826782731, 2066336233, 939070920"
values_79,67,10,"{-744020878, -1371864700, 1402539213, 451966548, 1974996928, 1522268452, 1248581762, -551344754, 1599263292, -1713993321"
values_78,67,4,"{1552485472, 734645, 1834727063, 1957971656"
values_87,11,16,"{1512681041, -955816691, 665992465, -491861054, 1749663681, -1484591429, -2079528239, -81815057, 878153738, 1597135847, 1217130577, 1114917524, -1070499378, -1774205887, 1609707800, 1574127668"
values_6,247,12,"{-890519868, 788721668, 1826338096, 242819516, -2024135601, 1473361408, -409869890, 1843117513, 850633507, -68664702, 256191365, -2062473976"
values_68,143,4,"{-1725350244, 293354922, -480026719, 1160670525"
values_69,143,10,"{-1486235790, -1650980493, 1443139386, -581362603, -1730583937, -961541968, -1518936965, 881696471, 984992550, -1783557327"
values_1,247,23,"{-1380475676, -1051237143, -1221443599, -1399093314, -348162655, 251977696, -1300537906, -1097191952, 1032443232, -1398445476, -827221129, 1595779143, -462163092, 626468952, 1128129356, -1970416537, -485054660, -56983948, 1509035129, -89011641, -1526805049, -1635127942, -1211677518"
values_45,40,17,"{914763901, -1185723623, 1840888752, 247095126, 748719230, -283204682, 701169790, -996330191, 1337828716, -564092207, -1392954655, 606435185, 1831403683, 12010648, -1451005581, -2102572781, 748074571"
values_33,195,17,"{-522703666, 1058188524, 1422249784, 2016725525, -169108553, 60449187, 103092800, -1514913359, 551826774, 1288085316, 1803456463, -288450735, -471216486, -1946629360, 865098900, -1175760599, 2089718470"
values_15,55,17,"{-1538696825, -1351700298, -1315198250, -1793426452, 544950977, -455736337, -459854789, -1077524355, -1526271719, 693533319, -1460014669, 1277683712, -797613538, -772082314, -461153209, -2093661438, 785439315"
values_93,210,17,"{1724402091, -892898180, -1587094264, 1387282820, -1263053845, -1047243478, -1723682544, -593883972, 318353178, -2138843615, 907085855, -1643086893, -1387934509, -81534383, 1363679785, -338367257, 16306492"
values_24,119,23,"{-323875944, -1743582331, 940493279, -371614547, -364978232, -1701112491, 1624982760, 1891479475, -1190906972, 260523923, 1943877889, 486684818, -341330569, -1765150964, -1253518743, 60452273, -323189251, 903964788, 77098512, -748583029, -1367953122, 1636011047, 656230991"
values_25,119,17,"{1293050395, 1041732934, -2119890587, -484773623, -306358237, 1667385322, 2043371301, -1025104751, 1735420244, 1115078612, -20167007, 1912632286, 1624308249, -10833979, -300191687, -1619978608, -827310189"
values_26,119,12,"{1382275799, 1541356982, -1362458799, -629770167, 1605415546, -714481731, -2106816026, 33138020, 801422654, 87389429, -476189028, -757077295"
values_48,40,4,"{-1531314146, 1357358556, 1707186114, 2026892707"
values_71,67,23,"{1213264434, -617770843, -1110507113, 1080968930, -1610525663, -1497192667, 1360168445, -2103444824, -1268179616, 1498767589, 629733987, 1691562620, 128016822, 1594978915, 688915501, 969251862, 590195701, -480364783, 108982316, -1652977924, -217640036, -909396012, -1830172301"
values_76,67,12,"{-293798955, -2037895895, -1915219300, 875821034, 190736136, -2051095933, 1764676151, 1270716789, 1687555445, -964587290, 561007694, 1122080828"
values_7,247,16,"{1267836585, -1005256627, -1945295921, -299590860, 1442691210, -762664912, -1688525290, 139732029, -545125245, -1552146168, 6894429, -2071071598, -1449153632, 79090596, 822163506, -1653766390"
values_50,141,10,"{1882834645, 1577731712, 2138758193, 1322646544, -1989778101, 997456649, -1339706755, 685143502, 1059271291, -791838370"
values_22,119,18,"{1619550486, -136233984, 665792333, -1058816636, -1268719067, 1271133262, 145121549, 1940006354, -863029618, 1569130653, -1593817891, 577975063, -589246989, 1098684847, 1391235074, 163230180, 459836887, -2100450258"
values_4,247,23,"{-1672616588, -1043808341, 628944616, 846534205, 1787227267, -22784989, 1422221595, -1178156897, -1308227803, -765091260, -51768519, -16745491, -2093540877, -207749943, -2071162589, -927722040, 430232726, 1119502199, -470156559, 1230473665, -1003141361, -375315207, -2136912557"
values_32,195,18,"{-704278066, 394901245, -485300220, 4176066, -358288855, 1470196238, 2004248704, 1762847286, 124859708, -1993856249, 1575781392, 1866699711, -1188232313, 1246768087, -1378217538, -1734503216, -1045485390, 844439271"
values_77,67,16,"{866819202, 606116326, -884930695, 382067063, 1192935688, -1801586427, 86130540, 15915658, -1893046728, 1820170458, 1706290363, 499136193, 356729748, 853541918, -1297545280, -1108378853"
values_91,210,23,"{-775590020, -342284220, -521373454, -955090985, -2045600975, 909634830, 1591929685, -1030733265, -1748760251, -1044031588, -1193686, -209529811, 335396084, -1986141060, 701318683, 1926469416, 1656631773, 60157087, 231758511, -1843070079, -966948120, -356850632, 776449024"
values_42,40,18,"{-30504625, 834049816, 1005856185, 470076952, 286629860, -2133707604, -745621344, 1306917177, 2051642123, 489798369, 725728775, 329630397, 286407443, -236649523, 1157875362, 1358494607, 617139213, -116585994"
values_13,55,17,"{1654576, -269643819, -467122068, 1856027490, -2124171139, -1612752956, 109278850, 232717366, -1899555981, 2057851108, -1267207317, -580335274, -1735296126, -1794549918, 1620802270, -1763657586, -496898904"
values_41,40,23,"{1395417253, 365252587, -1204407081, 1171445594, 345764818, -150542801, 1068258426, 671112152, -947818643, -584508167, -1997953925, -1194744871, -1530113285, 151465689, 1355436473, -1349228033, -1817201473, -1131802635, -654840703, -1061725178, -673024475, -1649326881, 294749913"
