inputName,n
11,15
19,28
12,25
38,25
81,17
5,28
40,30
70,11
23,9
72,20
79,30
78,30
87,30
6,15
68,27
69,32
1,13
45,12
33,23
15,17
93,19
24,17
25,22
26,9
48,20
71,13
76,13
7,25
50,20
22,18
4,24
32,29
77,26
91,24
42,20
13,29
41,3
55,23
31,8
66,30
65,16
62,30
21,14
95,28
84,11
58,5
64,5
83,7
94,24
0,17
99,2
96,22
67,15
61,32
43,9
2,31
54,2
30,19
59,7
85,6
74,5
90,29
18,22
52,17
44,13
17,10
36,25
49,31
86,19
37,28
56,18
63,3
35,31
97,10
75,32
57,11
88,24
10,26
53,7
8,27
39,19
47,7
60,7
89,24
51,29
14,27
28,32
16,5
34,9
82,21
46,12
27,30
20,17
9,29
92,28
3,10
98,29
29,12
80,2
73,28
