inputName,nn,isign
11,4,-1
19,4,-1
12,4,-1
38,3,-1
81,4,-1
5,3,-1
40,1,-1
70,1,-1
23,4,-1
72,1,-1
79,1,-1
78,1,-1
87,4,-1
6,3,-1
68,4,-1
69,4,-1
1,3,-1
45,1,-1
33,3,-1
15,4,-1
93,1,-1
24,4,-1
25,4,-1
26,4,-1
48,1,-1
71,1,-1
76,1,-1
7,3,-1
50,1,-1
22,4,-1
4,3,-1
32,3,-1
77,1,-1
91,1,-1
42,1,-1
13,4,-1
41,1,-1
55,1,-1
31,3,-1
66,4,-1
65,4,-1
62,4,-1
21,4,-1
95,1,-1
84,4,-1
58,1,-1
64,4,-1
83,4,-1
94,1,-1
0,3,-1
99,1,-1
96,1,-1
67,4,-1
61,4,-1
43,1,-1
2,3,-1
54,1,-1
30,3,-1
59,1,-1
85,4,-1
74,1,-1
90,1,-1
18,4,-1
52,1,-1
44,1,-1
17,4,-1
36,3,-1
49,1,-1
86,4,-1
37,3,-1
56,1,-1
63,4,-1
35,3,-1
97,1,-1
75,1,-1
57,1,-1
88,4,-1
10,4,-1
53,1,-1
8,3,-1
39,3,-1
47,1,-1
60,4,-1
89,4,-1
51,1,-1
14,4,-1
28,4,-1
16,4,-1
34,3,-1
82,4,-1
46,1,-1
27,4,-1
20,4,-1
9,3,-1
92,1,-1
3,3,-1
98,1,-1
29,4,-1
80,4,-1
73,1,-1
