inputName,size
11,23
19,22
12,30
38,21
81,7
5,31
40,32
70,9
23,15
72,26
79,17
78,31
87,31
6,26
68,4
69,12
1,3
45,21
33,7
15,27
93,18
24,7
25,5
26,26
48,21
71,19
76,2
7,11
50,15
22,18
4,25
32,29
77,30
91,17
42,25
13,5
41,8
55,19
31,29
66,31
65,11
62,27
21,32
95,8
84,22
58,23
64,14
83,12
94,30
0,32
99,3
96,23
67,28
61,15
43,24
2,4
54,6
30,8
59,29
85,13
74,4
90,13
18,4
52,8
44,2
17,18
36,10
49,11
86,9
37,25
56,15
63,16
35,21
97,11
75,23
57,17
88,5
10,16
53,24
8,29
39,29
47,11
60,18
89,25
51,14
14,32
28,26
16,13
34,2
82,9
46,24
27,21
20,24
9,12
92,23
3,15
98,26
29,11
80,15
73,9
