inputName,size,a[size][size],b[size][size]
values_11,3,"[[-514924758.17, 499597276.117, 1327429631.905],[935927111.992, 1994260851.795, 1874578189.747],[1479795790.779, -404528860.642, -252085162.325]]","[[850295477.753, -1121539146.513, -262036228.463],[-165807446.371, 2090608537.211, 546078276.577],[598455018.703, 1336000492.864, -448020522.772]]"
values_19,2,"[[1980854364.935, 346328416.145],[1866468761.413, -188180438.655]]","[[-1472912206.442, -2058141049.89],[-600765076.77, -400741316.425]]"
values_12,3,"[[2033386563.31, 1829704007.312, -1300602051.387],[-423143309.521, -894205137.145, -1949254968.678],[1920408621.842, -1087606111.199, -1909382188.136]]","[[-1351457374.352, -776524396.007, 1055608926.686],[775219881.677, 744368200.172, 1021441217.577],[1069650140.15, -1050137474.578, -384434145.023]]"
values_38,5,"[[1665869797.615, 2061123671.415, -1012738939.889, -1264242400.992, -897307187.309],[104549674.649, 782845253.157, -956922802.416, -2106832309.879, -90390872.145],[899155537.49, 823818566.456, -1985988877.876, 1471285884.571, 592332919.108],[-1335093088.382, -1022779785.602, 846486191.844, -2117395038.785, -1612587542.592],[1702965575.908, -2083861511.349, 592735754.534, 1392528962.29, -450280804.416]]","[[-143873775.199, 221436877.934, -713034717.438, -1530827050.519, -852713267.553],[-1862881797.034, 365822433.176, -1746096253.59, 1170121758.083, -1128720623.064],[37919845.884, -1058868507.59, -1610695790.47, 405280714.361, -997276372.507],[-417817599.909, -1053943700.781, -1141368811.195, 185468318.384, 2134680835.826],[606667886.72, -487244874.451, 90734651.626, -65077141.368, 355418758.279]]"
values_81,12,"[[-1454024693.581, 1992364480.832, -1590916218.041, 1591826212.336, -417363566.131, -392867204.136, 520204052.291, 833564823.61, -422141993.033, 1651253658.03, -326237080.679, -162956566.391],[-746350395.728, -1040505742.345, -1619691039.903, 3374986.351, -1043984784.705, -1356121588.988, 171471409.499, 148338317.106, 1005161577.966, -131633737.188, 278717067.546, -1067646353.251],[-1720295080.311, 1566041737.434, -1386706973.869, -182692203.526, -759621276.085, 1912506748.585, -1295527915.663, 792531607.45, 630190985.641, 1474310584.145, -1109776000.895, 1445968706.35],[-1436302152.239, 567564266.836, 1887963957.17, 784314559.806, -1792726003.622, -946551614.452, -2100942347.513, 1753397643.898, 410240846.412, -304699361.441, 53686104.5, -591508728.199],[691524515.984, -1542671507.861, -1816520534.138, 1705834402.686, -428963373.259, -115099576.611, -419715315.286, -13813492.792, -1444332400.089, 1672891168.693, 1938303361.396, -483418892.952],[-1083708176.04, 1185018000.399, 1826695579.58, -892527546.817, 1061641165.572, 797164313.419, 351510167.091, -49053735.041, 477285054.648, 475063856.053, -2041855851.346, 1985419050.337],[-1758617408.397, 1668280500.679, -134645370.629, -1938147333.009, 1014912417.568, -15365260.402, -1707569064.768, -1115662751.042, 1042037221.602, 1639651954.621, 1039465662.715, -149907213.873],[912264494.592, 941450223.793, -33549707.234, 1490464569.86, -1169285293.093, -780932124.019, -956410813.671, -1154159274.593, -1655105398.997, 2097034868.256, -82089048.822, 799448500.564],[-871423210.495, -1621649261.839, 1803516501.558, -758059355.769, 467849943.17, 565528456.519, -944892460.111, -1318152585.858, 1756975318.581, 263203782.216, -1261921404.082, 1927090914.004],[1258937745.271, 1391081140.266, -1026071146.276, 993532523.663, -813908290.432, 1779259346.846, -1177606861.869, -446577841.003, 656459994.673, -295512439.759, -1142079339.818, -1320071462.858],[-1963595073.529, -658150387.759, 379804458.313, 2028503109.105, -412331033.112, 1622535595.053, -492427161.098, 1211719995.675, -1564627756.461, -2119553009.247, -1382692818.406, 1696010420.193],[2137551902.058, -2064472677.944, 1164525123.957, -1131301984.32, 313434451.536, 1091193783.625, 340428932.64, -1408599392.381, -907485526.647, 72415652.073, 1830965596.705, -518416563.466]]","[[-98562203.493, 735383625.524, 1256393721.998, 1262877071.701, -1270676988.414, -786816954.265, 74369483.924, 1627109049.184, -1236667492.215, 1165950263.945, 1981351552.261, 580639130.651],[-1739526476.455, 111181357.564, -998486756.587, -1585925753.409, -1403070166.532, 2005240257.615, -92833957.44, 1347201634.071, -327276788.553, -905633396.757, -254254692.994, 1624222182.302],[651400387.903, 2019378.313, 820119621.029, 581750192.054, 506939194.936, -1769365485.734, -1874002106.781, -771326251.91, 2066653082.939, -1857677450.144, -1943611592.62, -151956256.917],[1405267335.386, -659707689.232, 79392314.302, 1579351100.526, -1843078032.99, 1861642023.881, 1935824701.923, -1935851385.192, -134151109.147, 524779580.761, -2024208561.99, 1564715280.073],[1606487837.468, 972221681.525, -1198673152.418, -793368215.625, 1187795607.305, 533031605.498, -455441962.885, 2085937497.924, -1468996072.071, -1736081400.389, -1019547420.39, -248707118.748],[1946017117.623, -927254283.071, -1963900257.214, 2045959639.753, -1527279137.19, 1374370505.128, 348871521.107, -743537983.13, -1800249307.597, -1421648588.8, 963190570.077, 711486710.652],[-1674713095.104, -1901727082.963, -1140795922.444, -915130043.802, 1718900400.207, -1857081646.478, -1336749732.555, 2023929434.577, -1056278512.736, 474080519.042, 1072412973.878, -1568095827.318],[2080595682.298, 1016819184.553, 1637978875.964, -887527549.217, 1444083415.767, -2136340778.419, -1571275389.19, -138424617.402, 791031179.651, 734412377.858, 2015354508.19, 958066662.914],[895115077.597, -1856089479.678, -1349216098.687, -1982031690.628, -1403490499.843, 383177928.987, -201414777.92, -74503447.554, 404647413.505, -1393627816.861, 1296609616.426, -629700576.489],[-396663519.955, -486151538.775, -162735778.149, -1622483553.173, -2141391619.306, 1140732494.356, 684202975.346, -379309009.761, 107768737.478, -1915786619.58, -223058430.768, -761793683.518],[1918700188.882, 2065609011.231, -1733495114.278, 1884111471.368, -687541282.554, -718003939.859, -884081283.689, -1177878716.749, 87294128.552, -550208190.386, -432162148.033, -1001262650.941],[1174316389.375, -391684028.601, 1106573456.71, -398413417.447, 1231573036.234, 1540357543.78, 1328381081.153, -1340130412.619, 422306970.358, -1029804726.07, -1340326850.015, -240874690.048]]"
values_5,12,"[[-140071180.603, -1972568685.713, -737797519.499, 328995749.363, -1618995933.418, -267692720.03, 1124001195.78, 268025528.96, 1149245841.533, 1397798897.801, 1233393953.909, -1125101401.827],[113216416.983, -2093768197.391, 1847537402.939, 425262196.574, 1492179608.873, -463389427.269, 1016253483.368, -267570964.581, -307486371.811, 1883151599.63, 1794207041.477, -535750015.671],[-1693094718.759, 1701079531.887, 1690155954.845, -973120246.134, 183926728.455, -1720295669.217, 1929831314.877, -1240887693.109, -583705496.288, 1861867651.627, 1103869197.848, -422813952.67],[-1395178467.15, 212396525.228, 26133582.399, -544617753.977, 1594742095.909, 669484889.651, -442101957.235, 965930212.444, -2100348935.581, -1753259369.209, -1716092282.596, 1461874915.256],[-409310855.674, -1353551038.796, -1945694039.761, 1554774642.456, -186932497.89, -1660966214.794, -1020754728.87, 383315608.356, 943956069.992, -1622985570.66, 1010490616.398, -136164154.932],[-1142066053.518, -1453932985.085, 1464751030.425, 55177165.923, 2029334146.867, 1527249833.246, 1195258776.773, -1099478942.88, -1023264583.491, 423034937.3, 1352433567.456, 649737364.864],[1284752991.725, -530596621.144, -1436127964.174, 1979584817.9, -1449906853.218, 1258913667.543, 198390083.999, 469851226.931, 2118206849.429, -744542622.482, -1515375683.146, 2136904743.833],[1011502593.933, -1164801563.43, -992580550.377, 38426992.214, -1182396647.901, -1904067820.601, 1019089494.534, -1054174600.349, -2104162643.596, -1006466553.979, -234275291.55, 1531256710.029],[1027585517.392, 935594097.486, -872550898.333, 1964756344.729, 935064247.978, 816831255.113, 308754969.779, -1746804462.505, 1961237788.105, -342311339.712, -72318653.996, 1345773570.992],[1207134428.142, 996692431.321, -1959301038.046, -1398117345.564, 1601204487.423, 1180732804.552, 431593444.019, -591259787.876, -789873841.788, 190514430.46, -710578803.803, 431046853.302],[2071741185.389, 1246311333.521, 1097490685.309, 451416184.438, -284978657.293, -1846285784.849, -243032949.324, -1437691715.498, -802524047.23, -390626937.488, 1135370991.155, 383031669.476],[-2001469117.65, -906226383.066, -338004045.905, -1994531715.782, -1908189806.655, -1687630445.95, -87140514.545, -888306135.924, 1362365802.796, 430841391.414, -545272715.469, 737070792.531]]","[[1213307894.575, 630822877.951, -1841626572.914, -2025674659.493, -1928847901.456, 470138221.878, -1439128211.782, -859615782.074, 1639862098.657, 31636004.263, -578021736.16, 1127430719.943],[1357726384.12, 1107536932.336, 1879662757.971, 457894501.761, -605172209.817, 832032970.908, -2003796827.199, 1107771436.958, -1982667954.756, 1224772609.028, -1502242251.49, 1677499927.875],[522212181.254, 1535459233.47, 928002186.476, 1898165824.298, 996916083.191, 1007801521.805, 246182158.253, -330828160.197, 29517599.896, 579516582.284, -335919893.671, -260152773.306],[1659409508.421, -237334381.437, 1706247259.589, 1537541221.638, -37237191.969, 933228252.718, -1323054338.287, 161507203.923, -744073511.98, 295573894.101, 1162193863.196, 1312842410.51],[115120889.757, 1380999487.726, -307851842.56, 1611504272.371, -508501934.782, -585365710.684, 647868817.452, 320005663.299, -1369474168.6, 1249610841.38, 522488808.099, -6532145.711],[126878010.857, -391458764.998, -2104605640.132, 1457325007.33, 279987286.921, -1793068184.012, 1563445047.188, -1414037658.682, 900238294.213, -1559969130.271, 634940927.37, -243707379.503],[1231663369.606, 162188160.964, 1915187178.179, -162461487.852, 1139738005.779, 387813548.716, 117553034.175, -972475370.581, -1735958605.517, -692021998.922, -1712771346.753, -844341327.672],[-1581852126.281, -668046759.992, -99440277.867, -11014912.696, 231668786.046, -1942923283.446, 254589718.695, -459398676.532, 1379737195.509, -681488610.019, 568577155.2, -1401018657.04],[-1874663866.567, 807988180.806, -83187369.65, -687259296.888, 1360186182.684, 1497688962.452, 471874437.571, 2143441743.432, 1942015434.071, 757381715.943, 124097484.615, -1697825750.258],[-1152635601.915, 1409989429.004, 1337656096.075, -264473453.958, 1573326671.162, 857810336.514, 1180058579.121, 1191741280.226, -1101941026.677, 1062359476.325, -266345112.759, -1539467222.387],[-2061664498.744, 488410212.122, -2043688496.444, -1458372544.775, 929601788.015, -88687736.173, 607145654.155, -424924929.407, -1556959726.642, 573244537.071, 219600857.98, 763945516.973],[1790517961.918, 651278955.407, 10322527.472, -1847365732.35, -206355635.233, 189682582.765, 1276266020.279, 171545130.965, -1358237091.206, 1453622584.119, 1622089819.641, 1887703609.726]]"
values_40,10,"[[-1345118842.133, -2088284674.307, -1421463692.184, -378798654.599, -1653448931.034, -1070709320.293, -45303395.397, 1461837675.148, 414200050.102, 663199297.094],[-493390201.637, 1050239325.346, 1336621855.228, -352631534.1, -1953375364.301, 1601568638.919, 1260493590.816, -95157019.535, 875196203.567, 220428837.145],[1059430992.711, -288648214.699, -741754796.685, -831515374.045, -1402132328.203, -131211569.717, 955048665.244, 240709547.411, -935532708.512, 1495762067.65],[-182402523.891, -758010462.116, 606644725.184, 1777280982.524, 209015068.263, 1147447582.152, -1284035548.593, 1213293574.534, 1039256700.521, 431964918.41],[-1595260505.215, 365046865.212, -303465637.101, 1410790088.24, -2055110124.133, -888275681.187, 634885630.47, 1641285077.686, -1269486864.933, 371328764.192],[566242431.868, -526547860.869, 1774855109.785, -1804563342.279, 1540770044.166, -749135719.814, -1026355169.951, -1103569664.794, 124635201.547, 688271058.052],[-2004474713.691, -2082340086.499, 2032215222.814, 1229518568.384, 1166331844.576, 631229273.626, -1412113571.579, 1520918747.266, -1797350290.478, 1330845516.931],[-1046747762.772, 2018540477.906, 2110322242.473, 1649057266.621, -1737480715.554, -799618315.602, 1531027208.376, -804077129.562, -660575460.149, -1668506819.172],[-1817484211.999, 356719023.467, 801639094.779, -642431561.577, 841165862.358, -577954369.32, 382198125.902, -1301422346.403, 1518685915.626, -410682014.371],[736478551.356, -1094136378.837, -2087438360.37, -2101305589.89, 1900252677.236, -2129233786.812, 1226974556.358, 235021703.616, -110855550.195, 1476446396.376]]","[[-1430119863.823, -1006734699.203, -1606583614.687, -741637557.156, -1526899923.969, -727821978.62, 1319501608.404, 770707489.311, 25415194.024, 1555261779.533],[-172366551.364, -1837997690.917, -586688096.945, -883726265.322, 45197364.615, -659852296.995, 573051365.941, 2066088814.956, -317483096.763, 183886254.077],[-1334441956.098, 1165633190.56, -1947866800.758, -1243034058.382, 1911385577.067, 117494288.307, -1593053310.293, 1073617030.543, 1785103024.649, -745349665.119],[-1928597592.246, 821799646.197, 2118694240.524, 1646595110.637, 641453400.471, 1611470061.121, 1988132219.393, 492236816.457, -1255029305.968, 1852499162.726],[-621506010.826, -304790610.307, 1735344481.868, 309278868.621, -399002522.63, 1023145441.315, 812929201.93, 503362834.429, 754175967.257, 668502130.555],[1086509324.821, -357564383.189, 1543973391.198, -1734448753.428, 1280598750.022, -1915565069.207, 460613748.559, 321517165.236, -467563244.068, -1193220787.857],[1681991763.91, 809476177.396, -272410085.902, -1173869819.578, -260128134.692, -291834651.813, 136957319.969, -513690417.649, -959461709.355, -1434423385.696],[-399268021.891, -120122804.087, 2018798843.083, -172243413.722, 1598414199.673, 1853996136.84, 1671056392.814, -1654614637.111, -1835182158.129, -904734717.291],[-1119679991.906, -366382012.177, 2118131804.324, 384870367.921, 1160383800.921, -349578758.288, 1031062075.871, 1889418623.432, 1953518564.496, 390476944.808],[957499201.582, -666406099.14, 1461079661.821, -2037611300.863, -1338441463.872, -1683355419.021, -604441478.041, 2003145930.849, -318067721.359, 1159786098.197]]"
values_70,4,"[[-291534558.422, -146585098.505, 610248785.457, -1409666385.217],[-651235727.635, -1329204821.42, -684342187.773, 2021076361.614],[-722068920.99, 1230864279.371, 1539660584.088, -934566439.218],[1652242124.975, 309168541.415, 838995269.682, 835523485.216]]","[[1019497448.301, -36282734.703, -722951822.972, 1509193141.774],[-359131505.438, -2144318276.639, -1791841451.913, -1047644896.087],[1050352530.083, 1039456519.407, -406205942.499, -1312715555.525],[1232294571.784, 690752616.878, -419550591.279, -1941291444.252]]"
values_23,10,"[[823444631.325, 361604130.925, 17416467.104, 306041729.841, -2088474761.288, 192257512.212, -1204709303.387, -245464712.894, -1211219565.62, 1565321659.412],[-1033083087.438, 1077545707.102, -1251231338.128, -918387748.788, -1597173585.425, 2139168578.705, -1263775079.268, 1962472785.525, 1281117164.742, 976073298.55],[317779019.351, -2129812530.939, -2009747776.282, -1307729382.982, -2086716596.348, 1176125179.643, -2040622525.959, -2045599869.765, -767765896.9, -76022177.888],[1953210817.989, 1228330589.31, 1429515743.761, -1364975980.668, -647395979.558, -1475109003.862, -306768144.894, 549509245.899, 1590754276.628, -1171860990.829],[-1032751738.624, 1475283681.546, -482438785.766, 1297173392.467, -2035236311.481, 1381143514.129, 2112912259.301, 551719082.68, -1333344419.762, 1177463053.535],[2022874821.364, 31218351.216, -1021260682.18, -94449011.543, 1410268425.207, 690336681.147, 1210544591.027, 997099767.765, -948692984.609, -123250500.928],[-515942964.451, -585637924.295, 1332508290.218, 2134101481.017, 1585943151.687, -846180682.034, -1256551419.735, -1511613640.034, 805085979.304, -220489138.546],[-1048137436.718, -1939746904.8, 787371159.071, -660131954.387, 1772480948.514, -918488939.938, -1126788914.548, -1002123998.688, 43924524.013, -333769739.138],[1523928209.053, -629034502.58, -804430661.012, 1858332268.355, -1776616033.044, -1014304052.311, -465585326.445, -1688597034.769, 940534890.424, 500957991.863],[1013673279.227, -639479277.686, 1120973311.511, -437967515.39, -433095790.934, -1794787074.182, -1325079807.341, 288395581.843, -2042864071.889, -277212841.725]]","[[464757962.241, 1021512148.667, -746517490.591, -1703925112.044, -1109122842.952, 1214424625.801, 358307496.713, 1466843137.773, 270970131.488, 1605749833.29],[1783634534.278, -475714733.588, 1452060836.132, 305988141.915, -189832439.099, 445458044.862, -1300893550.718, -1628266248.581, -93287182.579, 2057994540.316],[-1847858079.44, 450897388.177, 158704649.642, 390923020.793, 1612935415.573, -502765018.034, -29912239.797, 1874119505.81, 1312153849.506, 1858750599.716],[-2057859550.27, -969981227.575, -521046805.373, 436186183.328, -1931157658.782, -1024364635.712, 683129674.531, 1990890993.455, 432160241.644, -260664811.799],[608879458.378, 466667610.404, -76088978.567, -1429185366.399, 1346115422.115, -1281949484.936, 1200271554.891, -1928980159.812, -1574147983.342, -81150968.257],[-1762536804.729, 1287542955.88, -700117684.878, -827657972.498, -1304450996.895, 739498839.38, 876829349.556, -116544695.86, -2111277895.782, -1533092494.847],[105482194.128, -2045600621.527, -1572424524.304, -2058996202.143, 395376791.141, 1591068256.316, 1490572602.533, 2092049405.087, -91063890.389, 50127304.132],[-215710920.119, 1331459431.399, 1474471205.654, 1849811428.073, 1245436869.265, 979049296.84, 1993405492.654, 417100728.889, 941577366.493, -1417902498.736],[-883774949.354, -2030557441.543, -136152419.422, 916146993.073, 1888433052.064, -239525047.769, 2052931624.691, 78367735.885, 2420952.866, -721330434.188],[1487617499.314, -463100884.631, 1182507528.497, -599465580.813, -2123326281.026, -1761717869.889, 852867915.616, 869597792.003, 2102891862.139, -658999943.889]]"
values_72,10,"[[-570485550.373, -986760185.699, 181766014.912, -71314447.484, -459601263.692, 1108105739.741, 527795481.442, -2059048750.77, -1681507994.227, 1412099187.276],[942502194.338, -1937218141.388, 463115032.979, -1082101874.846, -1033958937.167, -1730475908.942, -914532983.239, 1309209984.843, -1703220207.927, -2069723744.218],[308952367.477, -453148389.332, 1484957671.414, -699175823.328, 766644434.65, -767498027.67, -822762157.948, -311789541.863, -451733390.432, 949444012.73],[245660715.71, 952247572.562, -479638134.638, 31256340.144, -896470731.794, 1044770337.646, 54916505.953, -401817077.394, 1507256157.838, 126291333.514],[-1395140315.842, 486927739.405, -1631078781.968, -1146516398.901, 1424582612.925, -885389707.366, 1582702946.335, 1591452685.148, -1949990195.066, -1807660911.829],[-2010466908.453, 1967571402.539, 946418839.021, -1931355565.025, -1578573225.123, 1466532813.244, 236239124.331, 1155686011.49, -181582105.881, 1233111987.42],[-2071624641.814, 1287236785.237, 1192778820.488, 1111307112.959, -1175104609.12, 974729690.429, 942045966.241, 2141016883.973, -991579150.977, 138962135.033],[1038569381.001, -1898080547.52, 1988941350.076, 843865273.395, -227543197.044, 32548303.205, 197921462.357, -547890715.953, -988335613.952, 29157013.754],[-558804545.627, 951218806.45, -1487707022.046, 1680510796.903, -1350105906.726, -412989527.108, -2023914579.412, 122411845.58, 1910290520.47, -232505154.975],[-1144010763.045, 314364095.036, 304483263.657, 1187856644.183, 180761918.807, 727669661.798, -1437722840.01, -1600520735.44, -1399547849.29, 46861844.33]]","[[319837266.731, -261793014.216, 920038628.421, 2072483996.708, 644020529.603, 1014007031.814, -1171564226.326, -333740889.901, 403077457.249, 1403385030.663],[-788003013.22, 658009548.411, -690932608.418, -124314417.484, -675596368.455, -1609896393.786, -1087993981.4, -1006428382.838, -220652099.531, -312493573.935],[7485474.259, 1101476960.902, 1876695516.517, 776024399.04, -587073619.692, -1661769646.883, 1538864306.024, 334284394.771, 1878811965.04, 338474045.079],[-1437973271.544, 846562727.925, 174144422.059, -1977864323.238, -1497979060.039, 1689732076.743, -1596242042.083, 1100628430.894, -629273271.816, 570243373.809],[60952061.685, 1939214080.121, 597317751.253, -620664787.593, -1941484148.41, -2033865994.757, -1882543108.355, 433192018.075, 1250148084.001, -1803833454.91],[-1254572910.382, -415729775.193, -308258879.739, -1268097531.15, -1816412444.892, 1560697076.709, -1728447468.8, 1237030088.382, -1870828574.909, 1328554236.29],[-423530495.074, -761359544.056, -953940570.229, 1038995687.268, -512935182.639, -2043138867.006, -1623123264.711, -1574612511.991, 1151820726.012, -1211690377.506],[894081271.349, -2131763984.216, 1458935571.601, 393902415.49, -119139110.467, 1360725344.848, 729114362.085, -905028261.964, -1733729756.958, 545896503.651],[927721768.269, -113529428.81, 76454016.108, 794235086.155, 373112385.727, 328052455.86, 2045692702.808, 1667013396.462, 1876150907.054, 816096259.225],[-408886374.129, 1015230875.067, 1707838401.307, -781256078.289, 1178050779.796, 2007729179.266, 46510590.648, -308783856.857, 1851087672.322, -1889416376.942]]"
