inputName,k
11,225
19,225
12,225
38,206
81,155
5,41
40,40
70,110
23,183
72,110
79,110
78,110
87,155
6,41
68,178
69,178
1,41
45,40
33,206
15,225
93,52
24,183
25,183
26,183
48,40
71,110
76,110
7,41
50,178
22,183
4,41
32,206
77,110
91,52
42,40
13,225
41,40
55,178
31,206
66,178
65,178
62,178
21,183
95,52
84,155
58,178
64,178
83,155
94,52
0,41
99,52
96,52
67,178
61,178
43,40
2,41
54,178
30,206
59,178
85,155
74,110
90,52
18,225
52,178
44,40
17,225
36,206
49,40
86,155
37,206
56,178
63,178
35,206
97,52
75,110
57,178
88,155
10,225
53,178
8,41
39,206
47,40
60,178
89,155
51,178
14,225
28,183
16,225
34,206
82,155
46,40
27,183
20,183
9,41
92,52
3,41
98,52
29,183
80,155
73,110
