inputName,n
11,13
19,23
12,19
38,18
81,9
5,20
40,20
70,22
23,24
72,32
79,11
78,8
87,2
6,14
68,24
69,28
1,17
45,31
33,4
15,17
93,17
24,4
25,18
26,19
48,9
71,22
76,13
7,22
50,23
22,20
4,22
32,30
77,2
91,12
42,2
13,30
41,7
55,17
31,6
66,15
65,4
62,32
21,19
95,31
84,12
58,3
64,18
83,29
94,18
0,24
99,13
96,10
67,24
61,22
43,14
2,23
54,8
30,21
59,5
85,5
74,29
90,4
18,27
52,16
44,27
17,28
36,22
49,20
86,32
37,6
56,10
63,14
35,26
97,22
75,13
57,7
88,30
10,32
53,7
8,8
39,4
47,13
60,15
89,4
51,21
14,10
28,24
16,6
34,9
82,19
46,16
27,14
20,7
9,25
92,19
3,16
98,4
29,15
80,26
73,31
