inputName,k
11,167
19,167
12,167
38,95
81,179
5,223
40,153
70,134
23,29
72,134
79,134
78,134
87,179
6,223
68,185
69,185
1,223
45,153
33,95
15,167
93,222
24,29
25,29
26,29
48,153
71,134
76,134
7,223
50,53
22,29
4,223
32,95
77,134
91,222
42,153
13,167
41,153
55,53
31,95
66,185
65,185
62,185
21,29
95,222
84,179
58,53
64,185
83,179
94,222
0,223
99,222
96,222
67,185
61,185
43,153
2,223
54,53
30,95
59,53
85,179
74,134
90,222
18,167
52,53
44,153
17,167
36,95
49,153
86,179
37,95
56,53
63,185
35,95
97,222
75,134
57,53
88,179
10,167
53,53
8,223
39,95
47,153
60,185
89,179
51,53
14,167
28,29
16,167
34,95
82,179
46,153
27,29
20,29
9,223
92,222
3,223
98,222
29,29
80,179
73,134
