inputName,idum
11,-102
19,31
12,-19
38,-86
81,102
5,-53
40,-107
70,46
23,81
72,35
79,109
78,25
87,-99
6,-111
68,-73
69,3
1,-68
45,54
33,-40
15,94
93,-26
24,35
25,-89
26,33
48,33
71,-71
76,30
7,11
50,108
22,66
4,53
32,-21
77,79
91,-14
42,-18
13,124
41,-7
55,-91
31,-90
66,-17
65,17
62,67
21,-104
95,-64
84,9
58,102
64,-30
83,-32
94,-90
0,82
99,87
96,-97
67,-6
61,-71
43,-15
2,-127
54,-84
30,-80
59,-82
85,0
74,51
90,42
18,107
52,27
44,-83
17,-69
36,100
49,111
86,-103
37,64
56,36
63,-15
35,-95
97,-115
75,-9
57,37
88,-15
10,-115
53,-66
8,96
39,-68
47,97
60,-64
89,-98
51,-26
14,-40
28,-67
16,-62
34,4
82,93
46,-97
27,42
20,-93
9,-42
92,63
3,31
98,-17
29,-18
80,91
73,-107
