inputName,n
11,9
19,26
12,16
38,10
81,21
5,2
40,19
70,30
23,30
72,11
79,14
78,10
87,16
6,5
68,19
69,2
1,6
45,19
33,21
15,24
93,13
24,10
25,28
26,29
48,26
71,11
76,4
7,30
50,25
22,22
4,13
32,24
77,6
91,29
42,4
13,8
41,12
55,19
31,9
66,6
65,20
62,30
21,4
95,20
84,12
58,24
64,23
83,10
94,30
0,8
99,10
96,25
67,28
61,2
43,18
2,11
54,10
30,5
59,15
85,31
74,27
90,32
18,2
52,4
44,19
17,12
36,22
49,15
86,4
37,17
56,18
63,23
35,31
97,25
75,8
57,9
88,32
10,7
53,14
8,20
39,6
47,15
60,5
89,5
51,30
14,30
28,11
16,13
34,6
82,18
46,17
27,18
20,24
9,32
92,21
3,13
98,14
29,12
80,22
73,6
