inputName,k
11,154
19,154
12,154
38,201
81,113
5,46
40,175
70,204
23,118
72,204
79,204
78,204
87,113
6,46
68,250
69,250
1,46
45,175
33,201
15,154
93,123
24,118
25,118
26,118
48,175
71,204
76,204
7,46
50,87
22,118
4,46
32,201
77,204
91,123
42,175
13,154
41,175
55,87
31,201
66,250
65,250
62,250
21,118
95,123
84,113
58,87
64,250
83,113
94,123
0,46
99,123
96,123
67,250
61,250
43,175
2,46
54,87
30,201
59,87
85,113
74,204
90,123
18,154
52,87
44,175
17,154
36,201
49,175
86,113
37,201
56,87
63,250
35,201
97,123
75,204
57,87
88,113
10,154
53,87
8,46
39,201
47,175
60,250
89,113
51,87
14,154
28,118
16,154
34,201
82,113
46,175
27,118
20,118
9,46
92,123
3,46
98,123
29,118
80,113
73,204
