inputName,size
11,31
19,12
12,12
38,16
81,31
5,2
40,23
70,23
23,29
72,12
79,12
78,16
87,12
6,9
68,16
69,12
1,31
45,2
33,29
15,2
93,29
24,18
25,2
26,9
48,16
71,31
76,9
7,12
50,23
22,12
4,18
32,12
77,12
91,31
42,12
13,29
41,31
55,2
31,31
66,9
65,2
62,12
21,31
95,2
84,18
58,16
64,18
83,29
94,18
0,23
99,12
96,9
67,12
61,31
43,29
2,12
54,18
30,23
59,12
85,2
74,18
90,23
18,16
52,12
44,18
17,12
36,9
49,12
86,9
37,12
56,9
63,29
35,2
97,12
75,2
57,12
88,16
10,23
53,29
8,16
39,12
47,12
60,23
89,12
51,31
14,18
28,16
16,9
34,18
82,12
46,9
27,12
20,23
9,12
92,12
3,29
98,16
29,12
80,23
73,29
