inputName,k
11,68
19,68
12,68
38,254
81,157
5,185
40,63
70,112
23,176
72,112
79,112
78,112
87,157
6,185
68,140
69,140
1,185
45,63
33,254
15,68
93,17
24,176
25,176
26,176
48,63
71,112
76,112
7,185
50,125
22,176
4,185
32,254
77,112
91,17
42,63
13,68
41,63
55,125
31,254
66,140
65,140
62,140
21,176
95,17
84,157
58,125
64,140
83,157
94,17
0,185
99,17
96,17
67,140
61,140
43,63
2,185
54,125
30,254
59,125
85,157
74,112
90,17
18,68
52,125
44,63
17,68
36,254
49,63
86,157
37,254
56,125
63,140
35,254
97,17
75,112
57,125
88,157
10,68
53,125
8,185
39,254
47,63
60,140
89,157
51,125
14,68
28,176
16,68
34,254
82,157
46,63
27,176
20,176
9,185
92,17
3,185
98,17
29,176
80,157
73,112
