inputName,size,arr[size]
values_11,29,"{651868077.664, -1871215556.738, -1927831037.045, 1754645138.238, 1519467587.044, 817477405.327, 2023505783.047, 1618073777.254, 1860438416.298, -403607543.604, -2052178416.968, 1561640131.96, -907679290.679, -1950854278.069, 717119621.75, 532030943.402, -663761703.693, 478900469.673, 731899124.296, 1455676190.658, -851988475.546, -1944808520.78, 1923933768.302, 114584391.506, -705285298.535, -1267441378.77, 964170632.914, 1079567808.808, 1921741884.535"
values_19,27,"{-1809607623.82, 170884015.178, 928127695.268, 1918675382.177, 1361386602.713, 1407383371.391, 1187006958.771, 1711375955.129, -1091772710.895, 198022573.445, -1376335065.933, 253739122.975, -1506829535.255, 1077263950.651, 604635030.376, -76639309.617, 551051237.655, -997571015.396, 348612274.192, -1852889136.874, 645766025.675, 2067486369.969, 1346205297.322, 1720821979.535, 1953228586.557, 2016779627.485, 1230464580.763"
values_12,14,"{581122339.783, 1891071110.73, 1810373740.918, -1850108432.65, 895556457.025, 2057230596.758, -654267869.407, 538966512.673, 869654863.014, 1660996547.709, 1822245868.358, -1362814421.19, 1707388222.665, 1147850526.482"
values_38,13,"{572443647.618, -1150928592.467, 1339707049.775, -199872996.718, -1459580832.208, 321889171.605, 1392160180.133, -1291737627.017, -343443782.624, -737692867.259, -1657170118.207, -43727007.386, -1118685938.315"
values_81,12,"{-1671811274.93, -419780696.594, 924884580.126, 2064127757.146, -1697313630.034, -803912635.423, 1662285785.062, 234583390.342, 1780924754.153, 406354518.056, 1254720432.396, -235080588.739"
values_5,6,"{1375876255.396, -293358929.446, 87421696.21, 2019190924.635, -1475660293.154, -483580340.689"
values_40,10,"{169314540.066, 1471268795.144, -1379708643.778, -845328313.979, 1518838538.365, -427431050.804, 681727163.852, -1605188603.138, 1604241464.618, 1523965694.428"
values_70,12,"{673929994.976, 304715070.718, 1304575653.811, 202563202.276, -352501009.915, -618250541.833, 1653242702.662, -983156736.552, -1648256719.643, -1191789491.727, 304725958.169, 1144459374.532"
values_23,8,"{1378255978.609, 1789330404.811, -790974102.963, -1965859743.48, -361532018.964, -50191837.514, 1780621529.341, -2007450708.207"
values_72,20,"{588048710.957, 2004307136.661, 1744529401.833, -33263258.234, 114364.099, 1516204944.488, 559480170.661, -1527170601.963, -541764812.389, 2141025644.736, 2088994393.522, -1250638760.573, 514493104.375, 1623985458.625, -779022077.099, 252024885.212, 1452247130.898, 1650836198.51, -1164401259.35, -40455680.593"
