inputName,k
11,143
19,143
12,143
38,81
81,107
5,254
40,98
70,143
23,101
72,143
79,143
78,143
87,107
6,254
68,172
69,172
1,254
45,98
33,81
15,143
93,167
24,101
25,101
26,101
48,98
71,143
76,143
7,254
50,32
22,101
4,254
32,81
77,143
91,167
42,98
13,143
41,98
55,32
31,81
66,172
65,172
62,172
21,101
95,167
84,107
58,32
64,172
83,107
94,167
0,254
99,167
96,167
67,172
61,172
43,98
2,254
54,32
30,81
59,32
85,107
74,143
90,167
18,143
52,32
44,98
17,143
36,81
49,98
86,107
37,81
56,32
63,172
35,81
97,167
75,143
57,32
88,107
10,143
53,32
8,254
39,81
47,98
60,172
89,107
51,32
14,143
28,101
16,143
34,81
82,107
46,98
27,101
20,101
9,254
92,167
3,254
98,167
29,101
80,107
73,143
