inputName,n
11,4
19,3
12,32
38,22
81,9
5,18
40,27
70,10
23,17
72,12
79,27
78,28
87,6
6,3
68,15
69,19
1,11
45,15
33,13
15,18
93,30
24,6
25,30
26,9
48,15
71,15
76,23
7,3
50,4
22,24
4,19
32,17
77,5
91,22
42,30
13,29
41,22
55,12
31,14
66,20
65,27
62,19
21,5
95,14
84,32
58,3
64,30
83,18
94,16
0,24
99,6
96,10
67,8
61,16
43,13
2,18
54,19
30,20
59,12
85,3
74,2
90,13
18,20
52,14
44,21
17,26
36,28
49,2
86,21
37,15
56,7
63,31
35,23
97,8
75,19
57,16
88,24
10,3
53,11
8,23
39,26
47,8
60,19
89,8
51,27
14,25
28,15
16,27
34,12
82,5
46,22
27,28
20,21
9,25
92,28
3,11
98,9
29,8
80,18
73,23
