inputName,size
11,13
19,20
12,30
38,23
81,32
5,12
40,4
70,30
23,15
72,8
79,28
78,30
87,2
6,17
68,27
69,28
1,24
45,15
33,7
15,8
93,7
24,5
25,9
26,5
48,2
71,24
76,9
7,2
50,17
22,15
4,4
32,6
77,31
91,23
42,27
13,30
41,10
55,32
31,31
66,7
65,9
62,18
21,31
95,8
84,6
58,20
64,13
83,3
94,19
0,30
99,24
96,32
67,19
61,6
43,28
2,20
54,6
30,11
59,9
85,23
74,28
90,7
18,4
52,26
44,9
17,25
36,3
49,9
86,29
37,28
56,25
63,21
35,21
97,19
75,4
57,12
88,15
10,10
53,30
8,11
39,31
47,26
60,3
89,11
51,25
14,25
28,31
16,13
34,26
82,22
46,32
27,17
20,23
9,10
92,26
3,29
98,25
29,4
80,23
73,2
