inputName,val
11,5
19,36
12,39
38,47
81,122
5,115
40,100
70,97
23,21
72,55
79,105
78,16
87,14
6,16
68,64
69,17
1,39
45,41
33,37
15,69
93,74
24,49
25,80
26,123
48,27
71,11
76,75
7,88
50,70
22,25
4,121
32,122
77,12
91,89
42,89
13,124
41,85
55,33
31,70
66,105
65,8
62,65
21,107
95,68
84,36
58,68
64,23
83,107
94,103
0,125
99,35
96,7
67,42
61,20
43,36
2,40
54,123
30,9
59,87
85,62
74,68
90,71
18,9
52,30
44,49
17,117
36,25
49,15
86,34
37,43
56,52
63,117
35,98
97,54
75,2
57,67
88,11
10,23
53,85
8,69
39,28
47,32
60,4
89,8
51,118
14,37
28,122
16,63
34,92
82,39
46,41
27,79
20,64
9,36
92,119
3,96
98,16
29,29
80,72
73,126
