inputName,k
11,113
19,113
12,113
38,230
81,144
5,190
40,190
70,179
23,167
72,179
79,179
78,179
87,144
6,190
68,184
69,184
1,190
45,190
33,230
15,113
93,150
24,167
25,167
26,167
48,190
71,179
76,179
7,190
50,249
22,167
4,190
32,230
77,179
91,150
42,190
13,113
41,190
55,249
31,230
66,184
65,184
62,184
21,167
95,150
84,144
58,249
64,184
83,144
94,150
0,190
99,150
96,150
67,184
61,184
43,190
2,190
54,249
30,230
59,249
85,144
74,179
90,150
18,113
52,249
44,190
17,113
36,230
49,190
86,144
37,230
56,249
63,184
35,230
97,150
75,179
57,249
88,144
10,113
53,249
8,190
39,230
47,190
60,184
89,144
51,249
14,113
28,167
16,113
34,230
82,144
46,190
27,167
20,167
9,190
92,150
3,190
98,150
29,167
80,144
73,179
