inputName,n
values_11,25
values_19,29
values_12,24
values_38,6
values_81,3
values_5,24
values_40,4
values_70,30
values_23,9
values_72,10
values_79,27
values_78,9
values_87,32
values_6,7
values_68,24
values_69,12
values_1,32
values_45,16
values_33,31
values_15,19
values_93,6
values_24,13
values_25,20
values_26,12
values_48,4
values_71,8
values_76,18
values_7,25
values_50,9
values_22,8
values_4,23
values_32,11
values_77,9
values_91,14
values_42,10
values_13,18
values_41,27
values_55,13
values_31,5
values_66,16
values_65,22
values_62,4
values_21,27
values_95,4
values_84,4
values_58,8
values_64,30
values_83,29
values_94,30
values_0,4
values_99,8
values_96,16
values_67,23
values_61,32
values_43,3
values_2,24
values_54,12
values_30,12
values_59,21
values_85,16
values_74,13
values_90,6
values_18,22
values_52,7
values_44,4
values_17,8
values_36,29
values_49,7
values_86,24
values_37,14
values_56,17
values_63,11
values_35,19
values_97,10
values_75,16
values_57,12
values_88,28
values_10,14
values_53,23
values_8,29
values_39,29
values_47,32
values_60,27
values_89,3
values_51,19
values_14,26
values_28,9
values_16,16
values_34,22
values_82,8
values_46,9
values_27,4
values_20,14
values_9,8
values_92,10
values_3,21
values_98,25
values_29,17
values_80,19
values_73,10
