inputName,nn,isign
11,3,-1
19,3,-1
12,3,-1
38,2,-1
81,1,-1
5,2,-1
40,4,-1
70,4,-1
23,2,-1
72,4,-1
79,4,-1
78,4,-1
87,1,-1
6,2,-1
68,1,-1
69,1,-1
1,2,-1
45,4,-1
33,2,-1
15,3,-1
93,4,-1
24,2,-1
25,2,-1
26,2,-1
48,4,-1
71,4,-1
76,4,-1
7,2,-1
50,3,-1
22,2,-1
4,2,-1
32,2,-1
77,4,-1
91,4,-1
42,4,-1
13,3,-1
41,4,-1
55,3,-1
31,2,-1
66,1,-1
65,1,-1
62,1,-1
21,2,-1
95,4,-1
84,1,-1
58,3,-1
64,1,-1
83,1,-1
94,4,-1
0,2,-1
99,4,-1
96,4,-1
67,1,-1
61,1,-1
43,4,-1
2,2,-1
54,3,-1
30,2,-1
59,3,-1
85,1,-1
74,4,-1
90,4,-1
18,3,-1
52,3,-1
44,4,-1
17,3,-1
36,2,-1
49,4,-1
86,1,-1
37,2,-1
56,3,-1
63,1,-1
35,2,-1
97,4,-1
75,4,-1
57,3,-1
88,1,-1
10,3,-1
53,3,-1
8,2,-1
39,2,-1
47,4,-1
60,1,-1
89,1,-1
51,3,-1
14,3,-1
28,2,-1
16,3,-1
34,2,-1
82,1,-1
46,4,-1
27,2,-1
20,2,-1
9,2,-1
92,4,-1
3,2,-1
98,4,-1
29,2,-1
80,1,-1
73,4,-1
