inputName,n
values_11,4
values_19,13
values_12,24
values_38,20
values_81,13
values_5,31
values_40,4
values_70,17
values_23,7
values_72,24
values_79,28
values_78,25
values_87,23
values_6,22
values_68,31
values_69,28
values_1,27
values_45,8
values_33,24
values_15,28
values_93,8
values_24,8
values_25,29
values_26,32
values_48,28
values_71,23
values_76,17
values_7,30
values_50,4
values_22,12
values_4,11
values_32,7
values_77,9
values_91,13
values_42,9
values_13,10
values_41,22
values_55,14
values_31,3
values_66,6
values_65,25
values_62,22
values_21,30
values_95,9
values_84,19
values_58,23
values_64,25
values_83,4
values_94,15
values_0,19
values_99,5
values_96,3
values_67,9
values_61,23
values_43,15
values_2,5
values_54,25
values_30,17
values_59,21
values_85,21
values_74,17
values_90,19
values_18,16
values_52,22
values_44,13
values_17,16
values_36,15
values_49,27
values_86,8
values_37,9
values_56,31
values_63,4
values_35,19
values_97,18
values_75,30
values_57,23
values_88,27
values_10,18
values_53,14
values_8,31
values_39,20
values_47,2
values_60,28
values_89,32
values_51,28
values_14,16
values_28,18
values_16,8
values_34,14
values_82,20
values_46,16
values_27,20
values_20,29
values_9,11
values_92,16
values_3,20
values_98,9
values_29,11
values_80,3
values_73,24
