inputName,key
11,31
19,5
12,10
38,13
81,31
5,29
40,26
70,26
23,14
72,10
79,5
78,13
87,10
6,21
68,13
69,5
1,31
45,29
33,14
15,29
93,14
24,27
25,29
26,21
48,13
71,31
76,21
7,10
50,26
22,10
4,27
32,10
77,10
91,31
42,10
13,14
41,31
55,29
31,31
66,21
65,29
62,10
21,31
95,29
84,27
58,13
64,27
83,14
94,27
0,26
99,5
96,21
67,10
61,31
43,14
2,10
54,27
30,26
59,5
85,29
74,27
90,26
18,13
52,10
44,27
17,10
36,21
49,5
86,21
37,10
56,21
63,14
35,29
97,10
75,29
57,10
88,13
10,26
53,14
8,13
39,5
47,10
60,26
89,5
51,31
14,27
28,13
16,21
34,27
82,10
46,21
27,10
20,26
9,5
92,10
3,14
98,13
29,5
80,26
73,14
