inputName,size,arr[size]
values_11,20,"{11272, -24046, 25188, -29005, 18672, 9765, -17898, 29164, -25293, -5298, 28431, 4149, 27908, -8797, -21547, 32049, -28653, -9568, 24666, -19029"
values_19,21,"{-27790, -2632, 31624, -25513, 910, -2746, 11152, -9951, 6736, 20340, -12181, -13832, -4672, -26928, -28615, 12577, -5775, 30754, -30787, -31278, 4151"
values_12,27,"{4373, -646, 17497, 7814, -18704, -19287, -28859, -15549, -5417, -16352, -10372, 18136, -7048, -1167, 18054, 4727, -2530, -17361, 18202, 12778, 2208, 27774, 3358, -29397, -24034, 1427, 31211"
values_38,6,"{-13791, 17106, 9316, -1890, -3286, 1267"
values_81,10,"{-30007, -28645, -21309, -21378, -31918, 25295, -25013, 3544, 19656, 683"
values_5,31,"{-30546, 26029, 19734, -31358, 32248, -26159, -27361, 6375, -7377, -9665, -5377, -2498, -31057, -30904, 20897, -23703, 10573, -6978, -14576, -12751, -5590, -7416, 16351, -7146, -6378, 12969, 23586, 21785, 14693, 21530, -29771"
values_40,32,"{24120, -343, -27660, -7865, 30583, -5781, -21068, -16462, -16605, 19115, -12831, 6514, -5869, -24953, 14121, 20357, 26918, -5731, -1629, 13681, 10097, 20187, -14088, 13748, -1016, 17277, -29676, -24092, 27646, 28818, -7782, 22289"
values_70,21,"{29852, -17888, 16527, 18988, -3035, 19700, -22810, 24785, 11699, -9096, -18353, -9836, 11781, 2714, -8058, 7687, 22033, 5992, -22076, 19914, 11410"
values_23,3,"{-24185, -25058, 27504"
values_72,27,"{9961, -17427, 26894, 16125, -5203, 24652, 8602, 28159, 30900, -3417, -21203, -16687, 28475, 30000, 4367, 15335, -21551, -31230, 5604, -20870, -8151, 928, 26363, -31071, 17247, 20630, 1500"
values_79,25,"{26767, -8461, -16686, -10566, -29945, -12381, -19988, -22670, -4974, -20954, 27211, 18431, 29332, 27360, -1634, -28808, 11187, -19958, -29063, -20029, -24424, -14218, 27348, 17048, -15263"
values_78,13,"{-30078, -21165, 25468, -20212, -5689, 15606, -16199, 28576, 17438, 3743, 2352, -16752, 1735"
values_87,14,"{-14806, 367, 17187, -26397, -9793, 14957, 27351, -18266, -7567, -4313, 16500, 17690, -10006, -25844"
values_6,13,"{7583, -22235, 22647, -20465, -14788, -21717, -29481, -21818, -26607, 25175, -5377, 14142, -17158"
values_68,6,"{28616, 31076, 31704, -4334, -20628, -26653"
values_69,10,"{-11881, 898, 18920, 25910, 21397, -13536, -2172, -17612, -23152, -23804"
values_1,13,"{-13520, -20252, -22358, 28419, 29446, -21682, 29385, 21830, 12368, -1950, -10480, -30544, 27750"
values_45,27,"{8064, 10230, 12453, 25740, 19878, -28101, -30550, 10607, -19858, -23183, -28190, -5167, -25024, -3810, -533, 18136, -11883, 30501, 20885, 154, 8539, -29811, -19440, 15133, -31212, -9282, 32265"
values_33,9,"{-29767, 2433, 21493, -18667, -255, -1233, -9958, -32712, 27359"
values_15,31,"{23372, -19963, 6254, -16303, -19064, 26139, 22326, -14594, -31156, 22604, -7085, -27860, -30782, -4852, 25969, 9226, -5456, -2693, -17336, -19485, -30773, 10062, 11308, 12728, -7897, -6924, 19989, -20694, -14046, -22362, -7103"
values_93,24,"{-13222, -24495, 27515, -16003, -21634, -25386, 25264, 780, -26148, 16256, 13195, -31109, 4816, 3860, 30506, -24229, -19517, -32177, -23324, -12551, 24422, 838, 30514, 637"
values_24,6,"{-2357, 14522, 23165, -13132, 22712, 26323"
values_25,16,"{-7958, 16333, 8616, -7095, -25379, 26209, 14553, 16023, -10401, 15503, -29944, -28182, -32585, 5827, 11145, 16152"
values_26,27,"{-18038, 28264, 17396, -21165, -18984, 28675, -8631, 17742, 21255, 25972, 30023, -15926, 18029, -21149, -28713, 27103, -5816, -20966, 29359, -4180, -539, -2187, 17301, 23765, 30443, 22486, -12752"
values_48,32,"{-85, -7898, -9079, -2244, 10172, -18971, -10900, 8360, -3603, -491, 14559, -28366, -533, -18482, -19435, 2813, -4004, -21759, 30357, 12889, -311, 26386, 23078, 23449, 14287, -26886, 5416, -3428, 26780, -16810, -22597, -31381"
values_71,26,"{29878, -15063, 12889, -193, 31948, 3437, 5881, -5115, -25305, -54, -4245, 18494, 19533, -31606, 5042, 5991, -27545, -23665, -8338, -29788, 2042, -294, -12984, -25, -14180, -11023"
values_76,4,"{-1344, 2186, -2656, 6292"
values_7,21,"{-26449, 10424, 18315, -22924, -30791, -26574, -6390, -9548, 22998, 11934, -10359, 23830, 14781, -618, -27805, 9619, -32556, 31986, 10747, -13074, -19147"
values_50,20,"{-12324, -5706, -3751, -22221, 27229, 9686, -29303, -63, 2557, 21406, 9599, -20729, 13817, -30505, -10003, -15335, -276, 22926, -6730, -2485"
values_22,29,"{12366, -29871, -32489, -24344, 832, 6998, -21235, 437, 4868, -29878, 12449, -12257, -22864, -22123, 28750, 4566, -4683, 10426, 24474, -8063, 8336, -2776, -328, 14586, 19670, 26102, 27584, -12781, 10817"
values_4,13,"{6088, -6614, 15603, 21623, -17711, 24072, -25906, -19011, 3481, -26301, -2421, -22043, -18250"
values_32,16,"{28807, -2780, -26917, -23126, -7445, -27862, -8286, 27058, -14938, -27920, 926, -2685, -29826, -7986, 18517, -3388"
values_77,29,"{-15075, 11476, 445, -1449, -14176, -23023, -25968, 12747, -24299, 15464, -6758, -15476, -28814, 984, -21642, 29189, 14942, 28138, -29580, 22438, -20929, 17106, -608, -19444, 27740, -28565, -19778, 15183, -15434"
values_91,2,"{-10501, -31193"
values_42,4,"{-24225, 13242, -7182, -19153"
values_13,29,"{4222, 21133, 14687, 22690, -27488, 25612, -22538, -28713, 4228, 1271, 1247, -5989, -7119, -23883, -29956, -27880, 8336, 2030, -7601, 40, 2771, -4840, 29117, 26638, -14637, 1539, 8659, 14832, -24387"
values_41,18,"{28740, 4175, -6426, -27341, -9423, -24035, -16071, 10874, -28499, -21103, 31792, 26534, 19378, -17377, 28662, 9923, -6206, 13263"
