inputName,k,size,arr[size]
values_11,6,32,"{-95, -44, 22, 74, 46, 110, -11, -57, 24, 121, 70, -117, 100, -83, 104, 5, -51, 25, -50, -5, 25, 24, -77, -67, 17, -23, 118, 90, 73, 7, 40, -33"
values_19,6,30,"{-85, 48, -14, -46, 17, -118, -21, 46, 47, 74, -28, 39, -49, -32, -29, -102, -45, -117, 38, 30, -32, 94, -53, 13, -3, 94, 6, -4, -72, -19"
values_12,6,7,"{-113, 39, -13, -123, -41, 35, 19"
values_38,137,5,"{90, 4, 43, -76, -10"
values_81,138,32,"{-32, -73, -98, -92, 92, -21, -126, -107, 125, -17, -30, -58, 112, 4, -89, -6, -113, -45, 66, -24, 90, -96, -117, 66, 11, -76, 64, -64, -118, 59, -106, 32"
values_5,186,5,"{116, -77, -78, -119, -75"
values_40,98,8,"{-97, 86, 44, 44, 94, 39, -50, -46"
values_70,187,8,"{107, -1, 79, 26, -36, -3, 25, -104"
values_23,214,22,"{-14, 101, 35, 46, 98, -37, 66, -24, 98, -116, 55, 63, -29, 118, -45, 1, -35, 79, 89, 12, -19, 68"
values_72,187,7,"{-15, -10, 97, 15, 33, 114, -8"
values_79,187,30,"{62, -45, 45, 105, 11, -89, 0, 118, 12, 113, -9, 84, 12, -46, 112, 83, -2, -100, -52, -79, 40, 44, -121, 83, 95, -25, -78, 37, 109, 28"
values_78,187,5,"{-19, -6, -54, 0, 59"
values_87,138,11,"{39, 115, 87, -109, 119, 101, 119, 53, 42, 90, 90"
values_6,186,23,"{-52, -33, -9, 64, -78, 45, 114, -38, 42, -36, 21, 37, 61, -58, -123, -25, -15, -71, 60, 56, -77, 100, -61"
values_68,127,5,"{122, 38, 16, -125, 81"
values_69,127,30,"{-62, 69, 73, -86, 94, -103, 83, 47, 9, -76, -100, 85, 109, 24, 30, -106, 15, 74, 111, -108, -72, -40, -10, 125, 68, -119, -10, -48, -97, -117"
values_1,186,32,"{-75, 120, -13, 63, 47, 79, 113, 20, -58, 5, 5, -49, 113, 8, -2, -119, -121, -20, -6, -76, 56, -10, -76, 56, -115, -26, -110, 39, -96, 61, -124, -13"
values_45,98,5,"{-71, 37, 44, -49, -42"
values_33,137,22,"{99, 68, 87, 51, 41, 25, -31, -31, 71, -32, 66, -36, -70, 70, -32, -75, 81, 108, -42, -108, 102, 126"
values_15,6,5,"{-84, -73, 18, -40, -37"
values_93,250,22,"{125, 49, -5, 14, 78, 22, -108, -97, 94, -38, -87, 58, 77, -100, -74, 2, 17, -51, 101, -34, 31, -59"
values_24,214,18,"{44, -111, -15, -11, 50, 15, -64, 3, 119, 27, -30, 111, 64, -49, -103, -19, -46, 76"
values_25,214,5,"{-3, -1, 16, 118, -76"
values_26,214,23,"{-59, 97, -65, 30, 105, 54, 89, 26, -105, -10, 43, -90, -53, 9, 34, -7, -113, 9, -28, -14, 37, 3, -93"
values_48,98,5,"{18, -7, 7, 64, -126"
values_71,187,32,"{-90, -53, -79, -24, 27, 126, 70, 85, 77, -10, -78, 66, -3, 45, -18, -22, 79, -97, 76, -85, -37, -31, -30, -8, 115, 56, 92, -126, -49, 8, -13, -86"
values_76,187,23,"{109, 81, -53, 11, 56, -3, -110, 79, 27, -126, -81, -1, -109, 110, -12, 70, -12, 32, 87, 90, 59, -73, 115"
values_7,186,11,"{-111, 25, -44, -95, -47, 29, -107, -98, -42, -100, -51"
values_50,193,8,"{-44, 71, -119, -111, 27, -97, -47, -63"
values_22,214,7,"{39, 67, -92, 82, -73, 36, 64"
values_4,186,18,"{44, 2, 33, 62, -52, -1, 88, -108, 42, -85, 46, 80, 100, 65, 16, -101, -31, -48"
values_32,137,7,"{-8, 88, -40, -9, -100, 20, -108"
values_77,187,11,"{29, -119, -70, 103, 50, 61, -98, -117, -18, -54, 77"
values_91,250,32,"{-115, 75, 124, -31, 109, 121, 84, -27, -21, 51, 74, 53, 92, 46, -22, -47, -60, -41, 125, 73, 89, 111, -58, 98, -91, -14, -2, 82, -65, 82, -45, -29"
