inputName,size,a[size]
values_11,27,"{56, -34, -17, 1, 56, -73, 7, 25, 79, -65, 8, -91, 113, 31, -53, -107, -74, 67, 60, -16, -13, -9, 119, -8, -28, 24, -6"
values_19,10,"{127, 30, -107, 118, -18, 8, -29, -94, -62, -119"
values_12,3,"{23, 10, 21"
values_38,24,"{18, -124, -77, -64, -41, -59, -27, -101, 26, 32, 121, 2, -50, 17, 111, -33, -41, -52, 42, 98, 52, 18, 38, -74"
values_81,32,"{21, 14, -122, 17, -127, 27, 97, -39, -47, -30, 61, -66, -83, 48, -4, -85, 29, -87, 51, 36, -128, -36, 126, 27, 45, -12, 80, -24, -26, 0, -68, 65"
values_5,13,"{-58, -71, 6, -60, -112, -44, 61, -47, -124, -128, 9, 2, 117"
values_40,10,"{-44, -69, -50, -61, 10, 112, -27, 36, 65, -106"
values_70,19,"{-96, -19, -76, 126, -117, -1, -3, -122, -38, -97, -36, -23, 54, 117, 6, 94, 0, 45, -88"
values_23,17,"{-99, -48, -65, -70, -16, 55, 50, 84, -86, 101, 53, -86, -66, -13, 12, -11, -96"
values_72,26,"{76, -120, 34, 11, 53, -127, -63, 33, -29, 49, 0, 83, -14, 118, 117, -55, 1, 125, 43, -100, 99, -56, 4, -68, 116, 15"
values_79,32,"{112, 31, 103, 65, -15, 32, 105, -123, -9, -118, -128, 42, -109, -38, 59, 59, 80, 12, 13, -101, -46, 100, 105, -105, -27, -19, -2, 7, 30, -109, 70, 51"
values_78,6,"{14, -77, -69, -46, 107, 102"
values_87,15,"{-42, -23, -31, -70, -116, 44, 40, 107, 99, -16, 32, -127, 63, -31, 28"
values_6,3,"{119, -110, 46"
values_68,13,"{80, 13, 100, -116, -119, -42, 20, 61, -36, -114, -51, 42, -96"
values_69,25,"{116, -66, 72, -9, -27, -10, 119, -88, -107, -124, -46, -53, 0, -70, -46, 121, -47, 44, -52, 20, -30, -25, -113, 77, 120"
values_1,4,"{30, 121, 67, 32"
values_45,28,"{105, -24, -25, 52, 85, 64, -43, 114, -13, -46, 54, -38, 28, 113, 77, -52, 75, -66, 18, -20, 32, -77, -66, -90, -66, 18, -5, 41"
values_33,3,"{-57, 84, -40"
values_15,15,"{-73, -6, 24, -36, -97, -55, 29, 100, 5, -60, 36, -19, -10, -128, 10"
values_93,10,"{-125, 114, -40, 22, -69, -69, 60, 34, -113, -30"
values_24,12,"{-38, 25, 24, 34, -20, 70, 58, -49, -4, -54, -44, 87"
values_25,15,"{-95, -17, 22, -46, 61, -87, -77, -34, -67, -22, 27, 99, 8, 57, -68"
values_26,8,"{-99, -31, 26, 53, 34, -111, 73, -122"
values_48,14,"{93, 75, -110, -16, 25, 61, 65, 68, -48, 12, 72, -18, 1, 103"
values_71,5,"{71, 84, -59, 50, 95"
values_76,23,"{-66, 77, 69, 99, -52, 73, 87, -78, -94, 62, 67, -44, 97, -27, 114, -77, -19, 45, -70, 96, 39, 43, -54"
values_7,10,"{63, 12, 50, 57, -43, 56, 69, -22, 56, -93"
values_50,3,"{-20, 88, -89"
values_22,10,"{-106, 29, -60, 39, 83, 31, 14, -77, -47, 95"
values_4,11,"{-94, -26, 56, 26, -78, 19, -34, -33, 5, 22, 84"
values_32,29,"{113, 118, -52, 61, 67, 77, -82, -25, 15, 1, -64, -65, -21, -39, -99, 30, 89, 112, 120, -45, 68, 93, -14, -112, -106, 66, -51, -5, -76"
values_77,7,"{-110, -103, 104, 36, 116, -107, -95"
