inputName,k,size,arr[size]
values_11,154,23,"{-1244542933, -152607907, -984609102, 1606300515, 883224464, 102944909, -1341735386, 1175255339, 1329666644, -560214495, -271592619, -1213391749, 206054749, -527235039, 123492567, -389376245, 419963332, 567609248, -971605484, 644415950, -626071220, 1484743984, -1641453828"
values_19,154,12,"{698967975, 1483681621, 1470084656, 276260503, -867967658, -288102858, -934043469, -596584534, -547675937, -2117201195, 1543526594, 1938699502"
values_12,154,27,"{1106321304, 1828697306, -2139834080, 636815384, 768328345, -1271704489, 759395941, 1476569239, -1476023560, 1481621573, 707045857, -435599349, 974426207, -730074482, 288686073, -1329255837, 1080352762, 551519803, -954541916, -920158063, -180063922, -1069866842, -210202502, -1783054448, 1279438386, 1394512806, -216849932"
values_38,9,5,"{-1182244186, -648047902, 673053186, 2045489183, -598005338"
values_81,189,23,"{-1216616803, -1886795026, -2068390855, 1109627818, 2024987978, -1397379204, -13407304, -991700017, 1632109847, 1444090681, 1990708496, 102050446, -1892399172, 451559548, 1298135289, -1365852191, -54658385, -1220726275, 1564077152, -2089168573, -1397396900, -200537985, 1207628963"
values_5,80,14,"{-1928594889, -322237922, -864642055, 170050587, -1728776120, 1283606276, 1472718281, -418574874, 1762578841, -1527532508, 1772614230, -451258952, 1735206533, -22074175"
values_40,224,28,"{1305975627, 863776021, 266634849, 1068920202, -1693690150, -901253555, 1807899966, 1589933158, -1522620589, -923166297, 98834184, 533764249, 953234270, 1961943049, -1389239358, -127602638, 246999957, 220115252, -1116700719, -1326049376, 1464998676, -632734716, -906441155, -1326745403, -578005237, 2017246630, -649142814, -546549544"
values_70,174,28,"{-1401197174, -943513309, 670470492, -1826323377, -283772351, 860435759, -265391961, -1725237789, 1580499343, -479071432, -1678200090, 692192075, 1480023594, -630615314, 1496969167, -146388041, 255845626, 1837878075, -1785717601, 301820912, 855809337, -1934402021, 1613910319, -1304429253, 1322311976, 1734654742, 811106828, -175859360"
values_23,222,14,"{1952484828, -1396456502, 1301804520, 1128452198, 595749619, 1670454997, -735289846, 1645739495, 1441016500, 326864221, 1707850760, 1816513185, 1681360333, 1834362021"
values_72,174,27,"{-1955048229, 996276887, 464150441, -156384013, 1482695294, 1375604497, 471870712, -1119536961, 706161532, 1685112520, -1601279867, -327197732, -698569871, -1046239261, -1794351258, -152119449, 2005121283, 1916698483, -737375193, -1194815949, 1148725136, 1775315602, -1252024770, -2118064438, 995740698, 2106799936, 1426891680"
values_79,174,12,"{879712516, 633297224, -2063121073, -90539226, 1795620918, 139777689, -1983087568, 2128592312, 1629894209, -1747358032, -1418626595, 864542422"
values_78,174,5,"{1724832318, -920897547, -1358741908, -1051739383, 245321184"
values_87,189,8,"{384530306, -151260138, 1125337866, 693866904, -838527546, 1930583880, -1251271351, -1582753250"
values_6,80,13,"{609022187, 75113314, 1878067699, -1754167149, 799232062, 646184033, 1756984458, -1409683850, 657885011, -1453111081, -2130663319, 405382963, -769980867"
values_68,252,5,"{-330615114, -654579393, -429224247, -1800998719, -1560450576"
