inputName,n
values_11,21
values_19,29
values_12,28
values_38,29
values_81,5
values_5,23
values_40,20
values_70,21
values_23,6
values_72,19
values_79,10
values_78,19
values_87,17
values_6,29
values_68,13
values_69,14
values_1,5
values_45,29
values_33,23
values_15,14
values_93,2
values_24,32
values_25,30
values_26,10
values_48,13
values_71,18
values_76,15
values_7,26
values_50,29
values_22,6
values_4,27
values_32,31
values_77,30
values_91,6
values_42,20
values_13,13
values_41,7
values_55,6
values_31,11
values_66,15
values_65,30
values_62,30
values_21,11
values_95,11
values_84,2
values_58,10
values_64,31
values_83,9
values_94,10
values_0,30
values_99,32
values_96,6
values_67,18
values_61,10
values_43,19
values_2,4
values_54,25
values_30,24
values_59,22
values_85,31
values_74,10
values_90,4
values_18,31
values_52,26
values_44,20
values_17,18
values_36,21
values_49,10
values_86,25
values_37,29
values_56,5
values_63,26
values_35,16
values_97,8
values_75,2
values_57,22
values_88,13
values_10,16
values_53,29
values_8,8
values_39,16
values_47,5
values_60,11
values_89,31
values_51,29
values_14,12
values_28,3
values_16,17
values_34,29
values_82,31
values_46,21
values_27,6
values_20,28
values_9,27
values_92,22
values_3,19
values_98,10
values_29,24
values_80,12
values_73,6
