inputName,key
11,18
19,22
12,23
38,23
81,18
5,30
40,3
70,3
23,24
72,23
79,22
78,23
87,31
6,12
68,23
69,22
1,18
45,30
33,24
15,30
93,24
24,24
25,30
26,12
48,23
71,18
76,12
7,31
50,3
22,23
4,24
32,23
77,31
91,18
42,23
13,24
41,18
55,30
31,18
66,12
65,30
62,23
21,18
95,30
84,24
58,23
64,24
83,24
94,24
0,3
99,22
96,12
67,31
61,18
43,24
2,23
54,24
30,3
59,22
85,30
74,24
90,3
18,23
52,23
44,24
17,31
36,12
49,22
86,12
37,31
56,12
63,24
35,30
97,31
75,30
57,31
88,23
10,3
53,24
8,23
39,22
47,31
60,3
89,22
51,18
14,24
28,23
16,12
34,24
82,23
46,12
27,31
20,3
9,22
92,23
3,24
98,23
29,22
80,3
73,24
