inputName,n
values_11,20
values_19,22
values_12,29
values_38,3
values_81,10
values_5,9
values_40,13
values_70,11
values_23,16
values_72,4
values_79,14
values_78,22
values_87,13
values_6,6
values_68,10
values_69,10
values_1,26
values_45,15
values_33,30
values_15,27
values_93,30
values_24,5
values_25,12
values_26,15
values_48,6
values_71,19
values_76,20
values_7,8
values_50,16
values_22,4
values_4,26
values_32,19
values_77,15
values_91,6
values_42,3
values_13,16
values_41,11
values_55,21
values_31,26
values_66,13
values_65,12
values_62,20
values_21,23
values_95,24
values_84,6
values_58,21
values_64,10
values_83,5
values_94,16
values_0,21
values_99,21
values_96,19
values_67,21
values_61,32
values_43,18
values_2,23
values_54,8
values_30,27
values_59,20
values_85,10
values_74,8
values_90,21
values_18,9
values_52,21
values_44,26
values_17,13
values_36,9
values_49,13
values_86,18
values_37,21
values_56,17
values_63,19
values_35,14
values_97,11
values_75,20
values_57,21
values_88,21
values_10,20
values_53,3
values_8,15
values_39,18
values_47,13
values_60,12
values_89,6
values_51,10
values_14,26
values_28,13
values_16,9
values_34,23
values_82,9
values_46,20
values_27,3
values_20,18
values_9,25
values_92,12
values_3,27
values_98,32
values_29,4
values_80,7
values_73,25
