inputName,n
values_11,20
values_19,16
values_12,5
values_38,8
values_81,23
values_5,7
values_40,26
values_70,21
values_23,4
values_72,21
values_79,7
values_78,32
values_87,17
values_6,32
values_68,29
values_69,5
values_1,29
values_45,16
values_33,18
values_15,17
values_93,25
values_24,17
values_25,16
values_26,13
values_48,16
values_71,14
values_76,30
values_7,16
values_50,25
values_22,13
values_4,12
values_32,16
values_77,20
values_91,26
values_42,25
values_13,5
values_41,15
values_55,21
values_31,22
values_66,27
values_65,13
values_62,14
values_21,10
values_95,18
values_84,6
values_58,29
values_64,23
values_83,19
values_94,4
values_0,11
values_99,32
values_96,25
values_67,15
values_61,25
values_43,18
values_2,10
values_54,11
values_30,18
values_59,21
values_85,26
values_74,28
values_90,17
values_18,30
values_52,20
values_44,13
values_17,22
values_36,29
values_49,7
values_86,10
values_37,17
values_56,26
values_63,21
values_35,31
values_97,7
values_75,13
values_57,2
values_88,17
values_10,20
values_53,24
values_8,31
values_39,6
values_47,14
values_60,6
values_89,12
values_51,31
values_14,22
values_28,14
values_16,9
values_34,3
values_82,22
values_46,18
values_27,10
values_20,4
values_9,27
values_92,25
values_3,7
values_98,4
values_29,4
values_80,31
values_73,5
