inputName,size,arr[size]
values_11,30,"{138081525121052022, 5579389799146532708, -7196202306220601052, 8310775005395478241, -684630157959340604, 667259630340737572, 8104455322484700024, 33188146323842461, 5618609055949392642, 8598800571633257587, -406791637309699556, 5165251917054228147, -1110014780932528622, -5678374283332620954, 7227660841676731813, -6206986416372970805, 2041607410078491290, 6290632113641134883, -4192151205881622954, 1056323157164553246, 6452706737326183221, 3532775317015911844, -6065857844846644596, 6075704764706595331, 8143075449816576589, -3000866361095426221, -7295656386125665838, -7536141494936771007, 539707479765036795, 4202790077837111414"
values_19,28,"{-8329434969501510236, -5910246969912064865, 6138449521873169978, -1630048603135839151, 5793957264238931953, -4435970229349280687, -385353365634799924, 5408018505547400935, -3886597004731374875, -7137837229852626668, 1009599358070631262, -2299699386952343164, -8302427046383530158, 7769891858120956769, -6671724794585534528, 5996375764056912069, -8576966674537195629, -4122282663806467619, -4408982170176701425, -5261125384737559025, 6720052113950823011, 16750233971355785, -7103601246321645967, -1293175916603519787, -1468726408779775126, 342336159820961656, 7834866397061581042, 7504740462543438048"
values_12,6,"{8743658383191963641, 4030968508418422379, 155582574781879162, 2117791510387897222, -6293566258000242677, -595168882674856334"
values_38,2,"{3762246668990025562, -4857928738913660673"
values_81,30,"{-493083137268704442, -8694803093013088701, 3841938176395617583, 6922208508345375960, -3098900291945929865, 6012775936097627292, -7800274345306209506, -8992920188573274122, 536700820163758882, 6739043555997980253, -360572389104737971, 1536124557744907537, 924551399274943408, 1652470968579997396, -3982730859918242912, 62559054005710953, -3066354534615151614, -7275574459257501736, -252716585270411180, -6779426970494378284, -5295715381964562653, 6649544029580066208, -3521552249020991191, 4509778087366792369, -1173581665525911428, -105671421586922072, 8237833374428438586, -8083663726774837132, 4293890338626132128, 585012913397964648"
values_5,19,"{1193030117835289163, -3653651351898414249, 325422931281173430, 217500846222874989, 628457912927468195, 4463728974490795624, 8846500172014409582, 5952896266857574577, -3191457419766247537, -6199385776026223286, 5542434769956333444, 4490786060636505049, -435921818068647271, -3893841991718403579, 3915537236578150204, 8955492927593364719, 2810228626003064602, 3124863027761058690, 326256610216301495"
values_40,4,"{7438799717987314888, 2278578055804275038, -6229731745757354873, -2084385691526961679"
values_70,2,"{-7570446173271784906, -6092724593901334838"
values_23,10,"{-8054933595944449820, 5483451926318123136, 4106630779408998611, 6688369648101165468, 8016877168281614947, -1666099527622089890, 4667243008248408097, -1177637660414757441, 2851230083251362163, 2449746393068839123"
values_72,19,"{4887046011477406948, -1095469572334820785, -3530481361899913148, -4413960484374421095, -5874121498766065501, -6416967274231400314, 5744017844520333293, -5180010599330564497, 8917154887993961797, -6156524321451372574, 7350918077884554318, -6639309822955994048, 4034780457303031983, -8947498942967085015, -9045368732681849193, 7173293921484566511, 2044629184367936362, 740803198429749182, 2688322038029909579"
values_79,16,"{-7815560121847455000, -8443036976576348544, 1973445406788845636, 6670998877092087984, -5211820773058959430, 3892462242889931627, 2619266915006303224, 1487303434370401562, -6684200800669779248, 8067543471062425849, 1740263133816411193, 3604674128729295189, 4915827052001365444, -7230655728844892382, 5598882518548072976, 3397221807158029600"
values_78,9,"{-4509274093015219462, -5524669496170598335, -119281523541533685, -7426187166202287518, -1948166455981569017, 9021369617848750344, -9116918777278118411, 854270035651318506, -4933180523332433457"
values_87,3,"{6431300305496829983, 1294579122715764084, 4938440476651853224"
values_6,17,"{-8919420401341951841, -1196866382208539990, -5112447939045334143, -1515345557597050509, -3842846738204053343, 4048165633169746322, 7345362293724903688, -8266315070731069252, -5554401594893399610, 2612222173505490812, 8448949824490745167, -3285469487852924423, 8008471176117224922, -5702848006850621585, 3146615098936909785, 373142800121205055, 8830349059997419095"
values_68,27,"{245612131619834472, 3531223346080303300, 4544599621293061326, -9146575558119638681, -8503634770753065509, -1759873046720316356, -7907056014641686382, -1755019796782154498, -5466826747337952385, 708228837244205225, 7412151857413850176, 5699386889107918436, -4611313252833315136, 7063917452620137632, 6934667774080083458, -2083981626359669978, 7348013988619135638, -3773541933920504228, -2213538333591881196, -4924424484502726265, 6547055980072101282, -5898493673194354137, 522627812995077335, -558075030676185303, -4662597023235127942, -4253098501361900818, 2160068661910602261"
values_69,26,"{2333376328683545597, 5811853759137768601, 8102034143099802851, -6862854951069514757, 5612878931877268925, 8165153765410117477, 513438287479616216, -6045064188630070243, 1038184932078789927, -8588813556476910837, 4152972738036770496, 1151416453713950338, 7190771907674459030, -7196519809164028806, 4403021865733674186, 6319547381939677861, 2760563811658473073, 4843667379974055041, -521779003976496552, -7628809809789956506, -2979035430210211545, 8602471505807921127, -2439532003780692218, -6501113207399272235, -7891290413179599368, 3437257440386341918"
values_1,14,"{5870017753304434119, 6919631188310606694, 1172999849372728831, -159320760777145558, 5982675731561261663, -2265094530189262635, 8368002219407458935, -3245381463841277007, -4678119515734449425, -125380792113216659, -6442232558148503513, 5465319883954832861, -8938916168856698858, 4208864605734661591"
values_45,30,"{-6879891810064285469, 3855252352745455818, -4957784987119174330, 2985710114856547314, 6011263905021525823, -731383670421639313, 5349223227116321397, -7257265595747083026, -1224668018204494574, 2087862530749448074, 3366855321699558755, 7056916637155976588, 63184259696887850, -2644643785343394339, 2938515121229467720, 5101469667808597484, 4346046174493986372, -7144048332537120560, -5553103111146682431, -8050409888122925812, 1814583113512091206, -287241505122126546, 7174778311532734028, 338595576751412318, 3857196265888065858, 5476018410396549289, 5791301976316481382, 6987215116412479295, -8705012354166871774, -6467414668671652503"
values_33,16,"{4244164151921129188, -8390433252727897095, 6675926967792073159, -1720827953506199859, 6120883788548642237, 2642461570712352075, -6450169438223904942, -961794125908145371, 980420733628730277, -475669857263936466, -8079250836607089840, 2542344217608598766, -4193642418618984364, -3164548700644894724, 5097778744865747723, -7834039814915750739"
values_15,21,"{-6715899909917146421, 6343707406988706848, 614923857476363170, 2757854907134756379, 48761025658815738, 4238037731365100568, -532053458418093187, 6161768503861800736, -749997668025938342, -4752953775668289450, -5469601759419110309, -8132507260899713870, -704132657330114608, -5892611136668908571, 4868742789895069435, -1335211763683677289, -575443686754861629, -87556264214116378, 1564211017326411268, 886906408983787311, -4657186795956646014"
