inputName,size,arr[size]
values_11,31,"{-1963113344, 1372396035, -1920283988, -861591581, 346635096, 1878884183, -1540801834, 439061598, -631558214, 191762481, 1684077963, 1390151766, 313053122, 884484450, -682324525, 121151793, 2002188244, 1835611402, 2109442356, 1997282766, 442665430, -550351861, -679631279, 434748084, -1387405485, 581281749, -2072975521, -1704270620, 245311815, -1962484715, -1904234892"
values_19,3,"{427465645, -1912173024, -687844194"
values_12,9,"{1631319540, 1256522969, 1907982894, -1662213137, 1061932543, 471723001, -445035095, 913930599, 1806047419"
values_38,10,"{1482825382, 1386434963, 2122976783, 385028565, -1004828401, -654824134, 210820914, 638085527, 1092044135, 729401239"
values_81,25,"{133393302, 1908993369, 176575038, 83884295, 1494159051, 1373407173, -695748777, 742971868, 1878463716, 2115973671, -455150790, -356319358, 573269163, -1025469923, 1364614776, 914304738, -159897303, 1310497031, -1809329677, -666638509, 874147697, -1516922022, 1222018504, -659949696, 549150490"
values_5,2,"{-851388529, -519272410"
values_40,27,"{-1212335817, -1266488961, 902716783, -49109121, 2068957134, 79758367, 1333323296, -1453577043, -1644422658, -1886928248, 880392074, 2013224577, -953499359, -1839527265, 1066545669, -146395985, -1003466652, -1202941040, 752616973, 927868795, -1152656685, 755668739, 2051965745, -999837988, 1510147953, -2016267058, 1993567246"
values_70,29,"{-593947230, 227082426, 1490042762, -1599386412, -615305243, -215197338, 248686671, 1900108492, 1131745200, -1429161425, -1691245996, 619987486, -943553148, -114383153, 1034599336, -2116408642, -2117038211, -1479941372, 1109135230, -480853115, 426519264, -1659512532, -2019956214, 312965765, -1646777789, -1142394286, 1561867821, -48663270, -1619863478"
values_23,13,"{543687061, 563677823, -1480465673, -183611502, -1610349689, -1566751949, -1534112460, -2114974744, 336602410, -860194703, 819576158, 1538473611, -180115761"
values_72,30,"{-1018585907, -1448436549, -353933289, 1979981852, -1974123987, 2081569565, 98947401, 2122614332, 197298080, -1360329634, -1070178029, 709900231, 327226469, -512320496, -973842487, -507727606, 1322383580, -314708687, 1010652024, 1627297922, 420553404, -1488532863, 1436396056, -84847465, 1840929780, 1614194384, 1846018515, 1328355429, -1203805097, 571825774"
values_79,24,"{-329403697, -480645328, 891027467, -582307273, 446060667, -1632245630, -102783916, -1804782426, -552227704, 2099546706, -1051922147, -555682360, -1039245268, -1722868954, -1790847237, -481452141, 975194773, 2064942357, -1242629320, 2056312737, -1791108324, 87245049, -896663059, 1287757044"
