inputName,size,arr[size]
values_11,29,"{-5794873768676755556, 2508851817015029014, -4338581089598235927, 4197672629172639937, -7919321759653123503, -5819602353108910591, -7157114317923144430, -4101332237716226194, -8940423261887129244, 4406329125121395105, -2769153379463246596, -6853372272671730309, 5852500174697962833, 8690977534524353774, 800807851900452903, -6761439182091366750, -668729037375446261, -8866910027313919296, -5843271529363572854, -5384937805335669907, 4864684965786940603, -6219705969223422161, 8891223003406092629, 1698230682261137933, -3629180875680652621, -7388111266943415963, -7238588835928063480, -3898118784328810108, -3051304777166305798"
values_19,3,"{4265538797295443848, -1100993341870084176, 7528931126815784772"
values_12,2,"{7958686138059954847, -911340999658946016"
values_38,30,"{96864883983966113, -8083741700238649325, -8564360550218501618, 275289511363239851, -4703978887976119018, -1777260639383787660, 9086474619629326093, 5301938661531190290, 4088001159042625512, 3147108798532083889, 3707932858954050370, -6780436128013615125, 2501775900339643832, -8469013324298813939, 3246630704419886582, -267644491795693287, 4649188837892943823, 7714947044263513548, 1398748651504327593, 8748591052249821307, 6609655513044798212, -1368912854124897732, -737180309253723575, 6256676696747863235, 5831351291430295773, 7810812980033745351, -9218246732139788974, -7997858045968284679, -8830322438558534890, 434813679349912932"
values_81,29,"{-3215596339946757946, -6711903121584878905, 9188889891271728172, 6517390850994924840, -8613915887915251548, -6464215553312822001, 7555728703001127944, -9213089063754977816, -781021387745125287, -2448474171815262000, 2926359726297598685, -7028639190561061697, 7919105378637078571, -4301540450172792240, 4692996145524762892, 4032196172506847358, -347257936570589129, 477676449965818992, 8854434827376501389, 8238444829023297416, 26470565043199922, 7192777966864901264, -5176280205388440347, 4920404371755501994, -1400209954460702254, 6389444591921947257, 388020310022805126, -540423340062932603, 1540446251774720641"
values_5,32,"{8250239918656806876, -6824756020617579654, 8385581234400402545, 8767677339054880151, 4507586457238602452, -8773028586137833206, -399127737950236223, 6705727911559389463, -7598708046519227638, 7422142779624674668, 5444522595998704548, -1042846348027236650, 7647883922773172399, -3603191971952479324, -433627397296035981, -2545905969331945973, 1690073886637987617, 6101336250702696778, -901548255220879051, -7894568714931883036, 56762557978831304, -1960151007597245993, 2850984230965382344, -8427909526893078665, -3933026585296640005, -9187404786462299082, 7869764350251288136, -8426740121503677657, -8319021343135703828, -7647008931414050695, 2022448879883947176, -5948766806338752254"
values_40,3,"{-4441624274061028432, 7161420553433684539, 7115985265765040270"
values_70,28,"{-3843819096267128732, 6019833815260253993, -980615068789872276, 2330317759250469894, -5518313894747883719, -4289150662973788724, 3680591141099760973, 3566305503375910154, 7277119716196045096, -4303570804374208384, 7353936630585106217, 5704910183205497245, 160870000411223003, -7158259880529344082, 1567135092643097851, -3129822810886357077, 2177818047367678929, -3750073927808358316, 5460701316706632053, 3657907005554092174, 8984330698732237880, 6154867325252892723, 510926201070761413, 3223443913015057319, -4430755149405484855, -5478454711262563729, 2330347441353952087, -739790862820513185"
values_23,24,"{1994625210143265005, 8631218105831034973, 6971315359282170747, -5498293244451285401, 2755513592799604262, 3268877143961384941, 8841781664263699327, -5341072887198398858, -9188058653556389426, 8196759388751124609, -2805874610743948810, -1640329465320190023, 1857240783547334894, 3495995703024576987, -3767101588436989246, 2291593391808296797, -4170476320140948543, -3959223710394325774, 6525365779020546573, 5283370830627916796, -4308852441536909948, 3077831266415058381, -7307524812085298128, 1979924616352603884"
values_72,19,"{492139673369359678, -2411452857932105370, 3673390106311275140, -5291548069758021968, 5049347637115869631, -1385450738340200789, 4658174836967329834, -550516824855702482, -4520887370333523119, -8103429455180556012, 6542757295882673894, 3255186669426809840, -5305377260121301108, 3369670661519425996, 8896705357665581130, -2629855625616615252, 3899102471472945295, -4853666585681156871, -358496191413443362"
values_79,32,"{7985764251231920483, 6819483403274287047, -5441585824755263789, -627370730154849975, 5357086681610905978, -4564755498936818270, -2328960533359019691, -6640736868510001193, -5159780626974757561, 2240201505409126992, 5227875968430562549, 9026233557119324971, -2380119678008328630, -1630443145365139094, 6986280631673099060, -4661834698098651437, 535194590049706719, -7538171234683048987, -969084763546667040, -876667153718153435, 7023708294134545478, -8248112951936675450, 2340549639254184437, -2308852325231815477, 3036890384841892194, 5968308379542213984, 5732884482597747217, 7902175540383072130, -1976599242286338836, -4617650334210030356, 605885532208620971, -7593578892872029646"
values_78,27,"{-2291942002204463589, -60604505384794256, 7924128131803351203, 1403022423173492981, -4441328210505523965, -7419705266518045072, 4459468274390925589, 1334473691555086295, 8819317210610144925, 8779772515018996859, -4730584342991464137, -859013099276652856, -5685187117482639900, -5157882925292805126, 7774621069421398152, -1851062187294164801, -52623333810616952, -8536541305557532160, -2621436669786576453, 6743077950919870796, -9112185203260233980, 6721286614619757534, 8356345716413701782, -4110247135091089337, -3246656055392199318, -5896503548831120184, -7519559214568606634"
values_87,28,"{2316137128223968426, -8255496362224132956, 9189280398292296949, 4738759421766913969, -8200149992358707786, 3243948701186559743, 9061434377380308782, -5975262943858451757, -1419809726114384508, 4287042030654823342, 959442686585043774, -4009259109294672799, -2762088698941364998, 1322218839644750345, -6012294656613440082, 290166071069310075, -6692254630753661660, 3726119378511243769, -7526280467761998571, 1237682809876840968, -1444314427616982026, -395822186799436249, 6762998634387677623, 7851518418910260786, -1070970790831691990, 7648728526294205101, -713861652406293020, 4160522892131380862"
