inputName,n,key,arr[n]
values_11,8,31,"{-4725330087399375936, 6013184570975128960, 1692623334318408690, 4001516292367968287, 2493259984834821358, 2916031553179678737, 6207371936161100267, 132682685126274016"
values_19,8,5,"{1138641957086231586, 232418142148908123, -5182677592998660476, 2445789918741004717, 6640033328169824374, 7967668803531245286, -2098095941787975319, -8560784489800254954"
values_12,8,10,"{8908693324073712537, 2466862866237216854, 1910494605405476148, -689321807185044056, 8075020245468884703, 7221789277102097362, -3551167457064503442, -6277867893774671360"
values_38,22,13,"{-4100686108496132758, 3243140983145013263, -7581785498552404214, 4654225607997566877, -9110398718420348005, 5173570295340333652, -7463193226227112310, -6128945796021129644, 9046760228912452227, 1935325332114603716, 4351665092373477205, -8728925033543732356, 4647618739715425412, 2761406552407401442, -8325733512906738074, -5465529432058349491, 4220610904702259586, -7155865902095988333, -5022607711115448573, 6023996993040734660, 5529379131913005550, -7595612098210667917"
values_81,21,31,"{-1245701325887580091, -2887477111857860219, -2681428525431782867, 113256978326248354, 164847982373007301, -3086577111974253399, -3153245854865451118, 6223688134956922984, 1905712913254832873, 1088159864163657496, -2029869609371262732, 1444852189100240398, -268523600675474321, -5812433063340478085, 4268881166441046621, -8554875037583142781, -7780832715290982456, -8794554711976993372, -3233674641222616760, -8262092465253599289, 1301514409797313044"
values_5,23,29,"{-3957951720354286077, -6539065548479246129, 4422997320591065921, -1170359355048146267, -5403166808604983975, -4107789643743191492, 355517809495210148, 4630934498854254731, -525830973082531205, -3956637873397528584, 4218185595725399033, -5704881545978719319, -1308877851364487533, 7316575226523116549, 493977902378198200, -8624202570620552355, 7967961249478205065, -7121247426607679819, 5981893495124850444, 5324497045126778684, 7215249313191407922, 7328669121816497159, -8872353066520167603"
values_40,4,26,"{3420054720708471030, -1266500974117425620, 5142303380735424231, 1372709532673684992"
values_70,10,26,"{4904122419895608518, -6858089945933133774, 7652391221393237101, 7531432326532393993, -1188239945594442272, 3967025032486794554, -1125100806223654561, -1661765851303228671, 5158794966978258358, 627570976273120909"
values_23,23,14,"{-1644587380144258373, 8553008716866739276, 4539121362044077829, 1013920073434921011, -3588413584477139247, 8667088905313759398, 3073176549127322634, 1113609925702878859, 6875562388017104736, 4823807566000346480, 770633085413152668, 1026719076664709669, -1845110656593032201, -2630658158699824694, -3224802498761466203, -5685988040921677829, 5144986401066438343, 8835493201707337417, -9077902144411566676, -3909801704478839542, 7502145117802695256, -6994580948407885623, 2321745419097464238"
values_72,10,10,"{4322884152830328779, -2211487841585698020, 1674598663751567202, 585143114339572130, 1752966384600832730, -4862371245921455613, 5768720143822363566, -1259314340162648123, 7050236786147777362, 3600400564893816584"
values_79,10,5,"{5983693061664914767, -5744386036100587227, -1819742720542573796, -3838941781392767544, -8287219181762620171, 5354762288650391669, -1221863864244552228, 713465814429997367, -307908424716174948, -6092136682981670049"
values_78,10,13,"{4498501004044222174, 3984820258816403883, -3683857662862938841, -3315005686627851153, 8217876086802770767, -7728563999508228052, 2419203263601701536, 1790385367683089468, -8602949659415439105, -5688835333898740260"
values_87,21,10,"{-6086132745229993469, -6204667974480033868, -385351785014554196, 3010272389442684349, 7874509307723097331, -199784146084897207, -1659890305684183377, 6579037189715455785, 243257389763136377, -3296174544580626144, -7277406333612852444, 7312670539121093854, 2977558383945795274, 3033252687313860597, 7805389275277290526, 8963751630573901318, 8646609338894941220, -4385447466141789219, -4708916305254887834, 8317643901891887500, 4724740784910837006"
values_6,23,21,"{-8506397147577900126, 8915554992172241493, 2705600034291204703, -5766034298531669962, 1745483259257165818, 708850265077201339, 1670984639034095005, 6563376493047255863, -7829083517468632632, 7011077140216619201, 6229060108992261197, 2780987026862556401, 2307726822309546194, -1050347277705780330, -8612254897476517479, 8860167887002046518, -6861909684054607155, 7890766994429321242, -5856343862192303107, -4851881395635397803, -917531536407696653, 5500725125381123642, -495663553108662216"
values_68,2,13,"{250949838519772233, -6899480356158475451"
values_69,2,5,"{-8179350005481561016, -1050633825178907013"
